coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
k_unordered_sequence;0.99;0.01;100;bubble;2.4981;2.5990;2.6999;0.0433;0.1009;1.3690
k_unordered_sequence;0.99;0.01;100;merge;3.1178;3.2320;3.3462;0.0490;0.1142;1.5487
k_unordered_sequence;0.99;0.01;100;quick;5.3044;5.4330;5.5616;0.0552;0.1286;1.7449
k_unordered_sequence;0.99;0.01;100;insertion;11.2650;11.4850;11.7050;0.0944;0.2200;2.9868
k_unordered_sequence;0.99;0.01;1000;bubble;37.9084;38.2490;38.5896;0.1462;0.3406;4.6226
k_unordered_sequence;0.99;0.01;1000;merge;72.4203;72.8080;73.1957;0.1664;0.3877;5.2607
k_unordered_sequence;0.99;0.01;1000;quick;63.0442;63.4450;63.8458;0.1720;0.4008;5.4381
k_unordered_sequence;0.99;0.01;1000;insertion;144.3521;144.8610;145.3699;0.2184;0.5089;6.9079
k_unordered_sequence;0.99;0.01;10000;bubble;346.6355;347.7050;348.7745;0.4590;1.0695;14.5140
k_unordered_sequence;0.99;0.01;10000;merge;995.4029;997.6940;999.9851;0.9833;2.2911;31.0942
k_unordered_sequence;0.99;0.01;10000;quick;656.0067;657.7330;659.4593;0.7409;1.7263;23.4298
k_unordered_sequence;0.99;0.01;10000;insertion;1443.1007;1445.2110;1447.3213;0.9057;2.1103;28.6419
k_unordered_sequence;0.99;0.02;100;bubble;3.8245;3.9370;4.0495;0.0483;0.1125;1.5282
k_unordered_sequence;0.99;0.02;100;merge;7.4669;7.6710;7.8751;0.0876;0.2041;2.7696
k_unordered_sequence;0.99;0.02;100;quick;9.3227;9.4350;9.5473;0.0482;0.1123;1.5232
k_unordered_sequence;0.99;0.02;100;insertion;14.4549;14.6180;14.7811;0.0700;0.1631;2.2143
k_unordered_sequence;0.99;0.02;1000;bubble;61.3938;61.7990;62.2042;0.1739;0.4052;5.4981
k_unordered_sequence;0.99;0.02;1000;merge;132.7812;133.3350;133.8888;0.2377;0.5538;7.5170
k_unordered_sequence;0.99;0.02;1000;quick;103.9515;104.4450;104.9385;0.2118;0.4935;6.6973
k_unordered_sequence;0.99;0.02;1000;insertion;185.2799;185.7410;186.2021;0.1979;0.4611;6.2595
k_unordered_sequence;0.99;0.02;10000;bubble;602.7418;604.1680;605.5942;0.6121;1.4262;19.3567
k_unordered_sequence;0.99;0.02;10000;merge;1725.2506;1727.4960;1729.7414;0.9637;2.2454;30.4747
k_unordered_sequence;0.99;0.02;10000;quick;1077.3395;1079.1800;1081.0205;0.7899;1.8405;24.9779
k_unordered_sequence;0.99;0.02;10000;insertion;1878.2529;1880.3660;1882.4791;0.9069;2.1131;28.6784
k_unordered_sequence;0.99;0.05;100;bubble;12.5950;12.7590;12.9230;0.0704;0.1640;2.2266
k_unordered_sequence;0.99;0.05;100;merge;17.1110;17.3990;17.6870;0.1236;0.2880;3.9071
k_unordered_sequence;0.99;0.05;100;quick;16.8518;17.0930;17.3342;0.1035;0.2412;3.2737
k_unordered_sequence;0.99;0.05;100;insertion;21.5717;21.7350;21.8983;0.0701;0.1633;2.2153
k_unordered_sequence;0.99;0.05;1000;bubble;116.8119;117.3720;117.9321;0.2404;0.5601;7.6027
k_unordered_sequence;0.99;0.05;1000;merge;244.4340;244.9860;245.5380;0.2369;0.5520;7.4909
k_unordered_sequence;0.99;0.05;1000;quick;188.2222;188.8560;189.4898;0.2720;0.6338;8.6007
k_unordered_sequence;0.99;0.05;1000;insertion;254.9505;255.5130;256.0755;0.2414;0.5625;7.6334
k_unordered_sequence;0.99;0.05;10000;bubble;1176.7777;1178.6130;1180.4483;0.7877;1.8353;24.9096
k_unordered_sequence;0.99;0.05;10000;merge;2830.2329;2832.1060;2833.9791;0.8039;1.8731;25.4212
k_unordered_sequence;0.99;0.05;10000;quick;1943.5297;1945.7490;1947.9683;0.9525;2.2193;30.1196
k_unordered_sequence;0.99;0.05;10000;insertion;2555.6584;2557.7510;2559.8436;0.8981;2.0926;28.4006
k_unordered_sequence;0.99;0.001;1000;bubble;4.5146;4.5847;4.6548;0.0301;0.0701;1.6486
k_unordered_sequence;0.99;0.001;1000;merge;8.1346;8.2313;8.3280;0.0415;0.0967;2.2731
k_unordered_sequence;0.99;0.001;1000;quick;9.2526;9.3870;9.5214;0.0577;0.1344;3.1609
