coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
largest_sorted_subarray;0.99;0.01;100;bubble;65.2422;66.4790;67.7158;0.5308;1.2368;16.7858
largest_sorted_subarray;0.99;0.01;100;merge;54.6147;55.9200;57.2253;0.5602;1.3053;17.7156
largest_sorted_subarray;0.99;0.01;100;quick;37.4793;38.4260;39.3727;0.4063;0.9467;12.8498
largest_sorted_subarray;0.99;0.01;100;insertion;19.6521;19.9310;20.2099;0.1197;0.2789;3.7866
largest_sorted_subarray;0.99;0.01;1000;bubble;250.0624;255.7040;261.3456;2.4213;5.6416;76.5685
largest_sorted_subarray;0.99;0.01;1000;merge;58.1778;58.7260;59.2742;0.2353;0.5482;7.4406
largest_sorted_subarray;0.99;0.01;1000;quick;64.5819;65.5360;66.4901;0.4095;0.9541;12.9489
largest_sorted_subarray;0.99;0.01;1000;insertion;26.3628;26.6820;27.0012;0.1370;0.3192;4.3329
largest_sorted_subarray;0.99;0.01;10000;bubble;567.8100;581.3860;594.9620;5.8266;13.5760;184.2539
largest_sorted_subarray;0.99;0.01;10000;merge;70.1270;71.0550;71.9830;0.3983;0.9280;12.5938
largest_sorted_subarray;0.99;0.01;10000;quick;92.6917;93.8840;95.0763;0.5117;1.1923;16.1812
largest_sorted_subarray;0.99;0.01;10000;insertion;35.3408;35.6430;35.9452;0.1297;0.3022;4.1005
largest_sorted_subarray;0.99;0.02;100;bubble;62.8586;64.2070;65.5554;0.5787;1.3484;18.3016
largest_sorted_subarray;0.99;0.02;100;merge;27.4977;28.3780;29.2583;0.3778;0.8803;11.9477
largest_sorted_subarray;0.99;0.02;100;quick;25.0698;25.5850;26.1002;0.2211;0.5152;6.9923
largest_sorted_subarray;0.99;0.02;100;insertion;16.9222;17.1750;17.4278;0.1085;0.2528;3.4322
largest_sorted_subarray;0.99;0.02;1000;bubble;172.3454;176.8320;181.3186;1.9256;4.4866;60.8926
largest_sorted_subarray;0.99;0.02;1000;merge;35.0134;35.6390;36.2646;0.2685;0.6256;8.4917
largest_sorted_subarray;0.99;0.02;1000;quick;39.7397;40.0580;40.3763;0.1366;0.3183;4.3201
largest_sorted_subarray;0.99;0.02;1000;insertion;19.7837;20.0570;20.3303;0.1173;0.2733;3.7086
largest_sorted_subarray;0.99;0.02;10000;bubble;352.4652;360.5370;368.6088;3.4643;8.0718;109.5512
largest_sorted_subarray;0.99;0.02;10000;merge;40.1235;40.7100;41.2965;0.2517;0.5865;7.9600
largest_sorted_subarray;0.99;0.02;10000;quick;55.6792;56.2300;56.7808;0.2364;0.5508;7.4768
largest_sorted_subarray;0.99;0.02;10000;insertion;25.8823;26.0950;26.3077;0.0913;0.2127;2.8887
largest_sorted_subarray;0.99;0.05;100;bubble;28.4915;29.1360;29.7805;0.2766;0.6445;8.7471
largest_sorted_subarray;0.99;0.05;100;merge;15.8090;16.1410;16.4730;0.1425;0.3320;4.5057
largest_sorted_subarray;0.99;0.05;100;quick;14.7560;15.0810;15.4060;0.1395;0.3250;4.4100
largest_sorted_subarray;0.99;0.05;100;insertion;11.0879;11.2920;11.4961;0.0876;0.2041;2.7717
largest_sorted_subarray;0.99;0.05;1000;bubble;92.4511;94.6250;96.7989;0.9330;2.1739;29.5050
largest_sorted_subarray;0.99;0.05;1000;merge;17.6430;17.8320;18.0210;0.0811;0.1890;2.5637
largest_sorted_subarray;0.99;0.05;1000;quick;23.1859;23.4790;23.7721;0.1258;0.2931;3.9779
largest_sorted_subarray;0.99;0.05;1000;insertion;13.6594;13.8120;13.9646;0.0655;0.1526;2.0724
largest_sorted_subarray;0.99;0.05;10000;bubble;157.9409;160.7870;163.6331;1.2215;2.8461;38.6266
largest_sorted_subarray;0.99;0.05;10000;merge;19.0934;19.3290;19.5646;0.1011;0.2356;3.1961
largest_sorted_subarray;0.99;0.05;10000;quick;29.5909;29.8710;30.1511;0.1202;0.2801;3.8025
largest_sorted_subarray;0.99;0.05;10000;insertion;17.8192;17.9450;18.0708;0.0540;0.1258;1.7079
largest_sorted_subarray;0.99;0.001;1000;bubble;631.9637;638.9267;645.8897;2.9884;6.9630;163.6833
largest_sorted_subarray;0.99;0.001;1000;merge;307.7477;312.2977;316.8477;1.9528;4.5500;106.9606
largest_sorted_subarray;0.99;0.001;1000;quick;275.4431;279.3023;283.1615;1.6563;3.8592;90.7216
largest_sorted_subarray;0.99;0.001;1000;insertion;72.5611;73.1203;73.6795;0.2400;0.5592;13.1438
largest_sorted_subarray;0.99;0.0001;10000;bubble;8208.8966;8276.5020;8344.1074;29.0152;67.6054;1589.2306
largest_sorted_subarray;0.99;0.0001;10000;merge;2636.8498;2678.8867;2720.9236;18.0416;42.0369;988.1800
largest_sorted_subarray;0.99;0.0001;10000;quick;2223.0288;2256.4077;2289.7866;14.3257;33.3789;784.6491
largest_sorted_subarray;0.99;0.0001;10000;insertion;254.8653;256.7827;258.7001;0.8229;1.9174;45.0734
largest_sorted_subarray;0.98;0.01;100;bubble;65.3877;66.4790;67.5703;0.5308;1.0913;16.7858
largest_sorted_subarray;0.98;0.01;100;merge;54.7682;55.9200;57.0718;0.5602;1.1518;17.7156
largest_sorted_subarray;0.98;0.01;100;quick;37.5906;38.4260;39.2614;0.4063;0.8354;12.8498
largest_sorted_subarray;0.98;0.01;100;insertion;19.6849;19.9310;20.1771;0.1197;0.2461;3.7866
largest_sorted_subarray;0.98;0.01;1000;bubble;250.7258;255.7040;260.6822;2.4213;4.9782;76.5685
largest_sorted_subarray;0.98;0.01;1000;merge;58.2422;58.7260;59.2098;0.2353;0.4838;7.4406
largest_sorted_subarray;0.98;0.01;1000;quick;64.6941;65.5360;66.3779;0.4095;0.8419;12.9489
largest_sorted_subarray;0.98;0.01;1000;insertion;26.4003;26.6820;26.9637;0.1370;0.2817;4.3329
largest_sorted_subarray;0.98;0.01;10000;bubble;569.4065;581.3860;593.3655;5.8266;11.9795;184.2539
largest_sorted_subarray;0.98;0.01;10000;merge;70.2361;71.0550;71.8739;0.3983;0.8189;12.5938
largest_sorted_subarray;0.98;0.01;10000;quick;92.8319;93.8840;94.9361;0.5117;1.0521;16.1812
