coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
percentual_k_unordered;0.99;0.01;100;bubble;2.4981;2.5990;2.6999;0.0433;0.1009;1.3690
percentual_k_unordered;0.99;0.01;100;merge;3.1178;3.2320;3.3462;0.0490;0.1142;1.5487
percentual_k_unordered;0.99;0.01;100;quick;5.3044;5.4330;5.5616;0.0552;0.1286;1.7449
percentual_k_unordered;0.99;0.01;100;insertion;11.2650;11.4850;11.7050;0.0944;0.2200;2.9868
percentual_k_unordered;0.99;0.01;1000;bubble;3.7909;3.8249;3.8589;0.0146;0.0340;0.4623
percentual_k_unordered;0.99;0.01;1000;merge;7.2421;7.2808;7.3195;0.0166;0.0387;0.5261
percentual_k_unordered;0.99;0.01;1000;quick;6.3044;6.3445;6.3846;0.0172;0.0401;0.5438
percentual_k_unordered;0.99;0.01;1000;insertion;14.4353;14.4861;14.5369;0.0218;0.0508;0.6908
percentual_k_unordered;0.99;0.01;10000;bubble;3.4663;3.4770;3.4877;0.0046;0.0107;0.1451
percentual_k_unordered;0.99;0.01;10000;merge;9.9541;9.9769;9.9997;0.0098;0.0228;0.3109
percentual_k_unordered;0.99;0.01;10000;quick;6.5601;6.5773;6.5945;0.0074;0.0172;0.2343
percentual_k_unordered;0.99;0.01;10000;insertion;14.4309;14.4521;14.4733;0.0091;0.0212;0.2864
percentual_k_unordered;0.99;0.02;100;bubble;3.8245;3.9370;4.0495;0.0483;0.1125;1.5282
percentual_k_unordered;0.99;0.02;100;merge;7.4669;7.6710;7.8751;0.0876;0.2041;2.7696
percentual_k_unordered;0.99;0.02;100;quick;9.3227;9.4350;9.5473;0.0482;0.1123;1.5232
percentual_k_unordered;0.99;0.02;100;insertion;14.4549;14.6180;14.7811;0.0700;0.1631;2.2143
percentual_k_unordered;0.99;0.02;1000;bubble;6.1394;6.1799;6.2204;0.0174;0.0405;0.5498
percentual_k_unordered;0.99;0.02;1000;merge;13.2780;13.3335;13.3890;0.0238;0.0555;0.7517
percentual_k_unordered;0.99;0.02;1000;quick;10.3951;10.4445;10.4939;0.0212;0.0494;0.6697
percentual_k_unordered;0.99;0.02;1000;insertion;18.5280;18.5741;18.6202;0.0198;0.0461;0.6259
percentual_k_unordered;0.99;0.02;10000;bubble;6.0275;6.0417;6.0559;0.0061;0.0142;0.1936
percentual_k_unordered;0.99;0.02;10000;merge;17.2526;17.2750;17.2974;0.0096;0.0224;0.3047
percentual_k_unordered;0.99;0.02;10000;quick;10.7734;10.7918;10.8102;0.0079;0.0184;0.2498
percentual_k_unordered;0.99;0.02;10000;insertion;18.7825;18.8037;18.8249;0.0091;0.0212;0.2868
percentual_k_unordered;0.99;0.05;100;bubble;12.5950;12.7590;12.9230;0.0704;0.1640;2.2266
percentual_k_unordered;0.99;0.05;100;merge;17.1110;17.3990;17.6870;0.1236;0.2880;3.9071
percentual_k_unordered;0.99;0.05;100;quick;16.8518;17.0930;17.3342;0.1035;0.2412;3.2737
percentual_k_unordered;0.99;0.05;100;insertion;21.5717;21.7350;21.8983;0.0701;0.1633;2.2153
percentual_k_unordered;0.99;0.05;1000;bubble;11.6813;11.7372;11.7931;0.0240;0.0559;0.7603
percentual_k_unordered;0.99;0.05;1000;merge;24.4434;24.4986;24.5538;0.0237;0.0552;0.7491
percentual_k_unordered;0.99;0.05;1000;quick;18.8222;18.8856;18.9490;0.0272;0.0634;0.8601
percentual_k_unordered;0.99;0.05;1000;insertion;25.4951;25.5513;25.6075;0.0241;0.0562;0.7633
percentual_k_unordered;0.99;0.05;10000;bubble;11.7677;11.7861;11.8045;0.0079;0.0184;0.2491
percentual_k_unordered;0.99;0.05;10000;merge;28.3025;28.3211;28.3397;0.0080;0.0186;0.2542
percentual_k_unordered;0.99;0.05;10000;quick;19.4354;19.4575;19.4796;0.0095;0.0221;0.3012
percentual_k_unordered;0.99;0.05;10000;insertion;25.5565;25.5775;25.5985;0.0090;0.0210;0.2840
percentual_k_unordered;0.99;0.001;1000;bubble;0.4515;0.4585;0.4655;0.0030;0.0070;0.1649
percentual_k_unordered;0.99;0.001;1000;merge;0.8133;0.8231;0.8329;0.0042;0.0098;0.2273
percentual_k_unordered;0.99;0.001;1000;quick;0.9252;0.9387;0.9522;0.0058;0.0135;0.3161
percentual_k_unordered;0.99;0.001;1000;insertion;4.7235;4.7456;4.7677;0.0095;0.0221;0.5183
percentual_k_unordered;0.99;0.0001;10000;bubble;0.0537;0.0546;0.0555;0.0004;0.0009;0.0232
percentual_k_unordered;0.99;0.0001;10000;merge;0.1065;0.1081;0.1097;0.0007;0.0016;0.0365
percentual_k_unordered;0.99;0.0001;10000;quick;0.1383;0.1399;0.1415;0.0007;0.0016;0.0393
percentual_k_unordered;0.99;0.0001;10000;insertion;1.7899;1.7950;1.8001;0.0022;0.0051;0.1201
percentual_k_unordered;0.98;0.01;100;bubble;2.5100;2.5990;2.6880;0.0433;0.0890;1.3690
percentual_k_unordered;0.98;0.01;100;merge;3.1313;3.2320;3.3327;0.0490;0.1007;1.5487
percentual_k_unordered;0.98;0.01;100;quick;5.3195;5.4330;5.5465;0.0552;0.1135;1.7449
percentual_k_unordered;0.98;0.01;100;insertion;11.2909;11.4850;11.6791;0.0944;0.1941;2.9868
percentual_k_unordered;0.98;0.01;1000;bubble;3.7949;3.8249;3.8549;0.0146;0.0300;0.4623
percentual_k_unordered;0.98;0.01;1000;merge;7.2467;7.2808;7.3149;0.0166;0.0341;0.5261
percentual_k_unordered;0.98;0.01;1000;quick;6.3091;6.3445;6.3799;0.0172;0.0354;0.5438
percentual_k_unordered;0.98;0.01;1000;insertion;14.4413;14.4861;14.5309;0.0218;0.0448;0.6908
percentual_k_unordered;0.98;0.01;10000;bubble;3.4675;3.4770;3.4865;0.0046;0.0095;0.1451
percentual_k_unordered;0.98;0.01;10000;merge;9.9568;9.9769;9.9970;0.0098;0.0201;0.3109
percentual_k_unordered;0.98;0.01;10000;quick;6.5621;6.5773;6.5925;0.0074;0.0152;0.2343
percentual_k_unordered;0.98;0.01;10000;insertion;14.4334;14.4521;14.4708;0.0091;0.0187;0.2864
percentual_k_unordered;0.98;0.02;100;bubble;3.8377;3.9370;4.0363;0.0483;0.0993;1.5282
percentual_k_unordered;0.98;0.02;100;merge;7.4909;7.6710;7.8511;0.0876;0.1801;2.7696
percentual_k_unordered;0.98;0.02;100;quick;9.3359;9.4350;9.5341;0.0482;0.0991;1.5232
percentual_k_unordered;0.98;0.02;100;insertion;14.4741;14.6180;14.7619;0.0700;0.1439;2.2143
percentual_k_unordered;0.98;0.02;1000;bubble;6.1441;6.1799;6.2157;0.0174;0.0358;0.5498
percentual_k_unordered;0.98;0.02;1000;merge;13.2846;13.3335;13.3824;0.0238;0.0489;0.7517
percentual_k_unordered;0.98;0.02;1000;quick;10.4009;10.4445;10.4881;0.0212;0.0436;0.6697
percentual_k_unordered;0.98;0.02;1000;insertion;18.5334;18.5741;18.6148;0.0198;0.0407;0.6259
percentual_k_unordered;0.98;0.02;10000;bubble;6.0292;6.0417;6.0542;0.0061;0.0125;0.1936
percentual_k_unordered;0.98;0.02;10000;merge;17.2553;17.2750;17.2947;0.0096;0.0197;0.3047
percentual_k_unordered;0.98;0.02;10000;quick;10.7756;10.7918;10.8080;0.0079;0.0162;0.2498
percentual_k_unordered;0.98;0.02;10000;insertion;18.7850;18.8037;18.8224;0.0091;0.0187;0.2868
percentual_k_unordered;0.98;0.05;100;bubble;12.6143;12.7590;12.9037;0.0704;0.1447;2.2266
percentual_k_unordered;0.98;0.05;100;merge;17.1449;17.3990;17.6531;0.1236;0.2541;3.9071
percentual_k_unordered;0.98;0.05;100;quick;16.8802;17.0930;17.3058;0.1035;0.2128;3.2737
percentual_k_unordered;0.98;0.05;100;insertion;21.5909;21.7350;21.8791;0.0701;0.1441;2.2153
percentual_k_unordered;0.98;0.05;1000;bubble;11.6879;11.7372;11.7865;0.0240;0.0493;0.7603
percentual_k_unordered;0.98;0.05;1000;merge;24.4499;24.4986;24.5473;0.0237;0.0487;0.7491
percentual_k_unordered;0.98;0.05;1000;quick;18.8297;18.8856;18.9415;0.0272;0.0559;0.8601
percentual_k_unordered;0.98;0.05;1000;insertion;25.5018;25.5513;25.6008;0.0241;0.0495;0.7633
percentual_k_unordered;0.98;0.05;10000;bubble;11.7699;11.7861;11.8023;0.0079;0.0162;0.2491
percentual_k_unordered;0.98;0.05;10000;merge;28.3047;28.3211;28.3375;0.0080;0.0164;0.2542
percentual_k_unordered;0.98;0.05;10000;quick;19.4380;19.4575;19.4770;0.0095;0.0195;0.3012
percentual_k_unordered;0.98;0.05;10000;insertion;25.5590;25.5775;25.5960;0.0090;0.0185;0.2840
percentual_k_unordered;0.98;0.001;1000;bubble;0.4523;0.4585;0.4647;0.0030;0.0062;0.1649
percentual_k_unordered;0.98;0.001;1000;merge;0.8145;0.8231;0.8317;0.0042;0.0086;0.2273
percentual_k_unordered;0.98;0.001;1000;quick;0.9268;0.9387;0.9506;0.0058;0.0119;0.3161
percentual_k_unordered;0.98;0.001;1000;insertion;4.7261;4.7456;4.7651;0.0095;0.0195;0.5183
percentual_k_unordered;0.98;0.0001;10000;bubble;0.0538;0.0546;0.0554;0.0004;0.0008;0.0232
percentual_k_unordered;0.98;0.0001;10000;merge;0.1067;0.1081;0.1095;0.0007;0.0014;0.0365
