coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
percentual_maior_array;0.99;0.01;100;bubble;65.2422;66.4790;67.7158;0.5308;1.2368;16.7858
percentual_maior_array;0.99;0.01;100;merge;54.6147;55.9200;57.2253;0.5602;1.3053;17.7156
percentual_maior_array;0.99;0.01;100;quick;37.4793;38.4260;39.3727;0.4063;0.9467;12.8498
percentual_maior_array;0.99;0.01;100;insertion;19.6521;19.9310;20.2099;0.1197;0.2789;3.7866
percentual_maior_array;0.99;0.01;1000;bubble;25.0063;25.5704;26.1345;0.2421;0.5641;7.6568
percentual_maior_array;0.99;0.01;1000;merge;5.8178;5.8726;5.9274;0.0235;0.0548;0.7441
percentual_maior_array;0.99;0.01;1000;quick;6.4583;6.5536;6.6489;0.0409;0.0953;1.2949
percentual_maior_array;0.99;0.01;1000;insertion;2.6363;2.6682;2.7001;0.0137;0.0319;0.4333
percentual_maior_array;0.99;0.01;10000;bubble;5.6781;5.8139;5.9497;0.0583;0.1358;1.8425
percentual_maior_array;0.99;0.01;10000;merge;0.7012;0.7105;0.7198;0.0040;0.0093;0.1259
percentual_maior_array;0.99;0.01;10000;quick;0.9269;0.9388;0.9507;0.0051;0.0119;0.1618
percentual_maior_array;0.99;0.01;10000;insertion;0.3534;0.3564;0.3594;0.0013;0.0030;0.0410
percentual_maior_array;0.99;0.02;100;bubble;62.8586;64.2070;65.5554;0.5787;1.3484;18.3016
percentual_maior_array;0.99;0.02;100;merge;27.4977;28.3780;29.2583;0.3778;0.8803;11.9477
percentual_maior_array;0.99;0.02;100;quick;25.0698;25.5850;26.1002;0.2211;0.5152;6.9923
percentual_maior_array;0.99;0.02;100;insertion;16.9222;17.1750;17.4278;0.1085;0.2528;3.4322
percentual_maior_array;0.99;0.02;1000;bubble;17.2344;17.6832;18.1320;0.1926;0.4488;6.0893
percentual_maior_array;0.99;0.02;1000;merge;3.5012;3.5639;3.6266;0.0269;0.0627;0.8492
percentual_maior_array;0.99;0.02;1000;quick;3.9739;4.0058;4.0377;0.0137;0.0319;0.4320
percentual_maior_array;0.99;0.02;1000;insertion;1.9784;2.0057;2.0330;0.0117;0.0273;0.3709
percentual_maior_array;0.99;0.02;10000;bubble;3.5248;3.6054;3.6860;0.0346;0.0806;1.0955
percentual_maior_array;0.99;0.02;10000;merge;0.4013;0.4071;0.4129;0.0025;0.0058;0.0796
