coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
k_unordered_sequence;0.99;0.01;100;bubble;2.4875;2.5990;2.7105;0.0433;0.1115;1.3683
k_unordered_sequence;0.99;0.01;100;merge;3.1058;3.2320;3.3582;0.0490;0.1262;1.5480
k_unordered_sequence;0.99;0.01;100;quick;5.2908;5.4330;5.5752;0.0552;0.1422;1.7440
k_unordered_sequence;0.99;0.01;100;insertion;11.2418;11.4850;11.7282;0.0944;0.2432;2.9853
k_unordered_sequence;0.99;0.01;1000;bubble;37.8724;38.2490;38.6256;0.1462;0.3766;4.6203
k_unordered_sequence;0.99;0.01;1000;merge;72.3794;72.8080;73.2366;0.1664;0.4286;5.2581
k_unordered_sequence;0.99;0.01;1000;quick;63.0019;63.4450;63.8881;0.1720;0.4431;5.4353
k_unordered_sequence;0.99;0.01;1000;insertion;144.2984;144.8610;145.4236;0.2184;0.5626;6.9045
k_unordered_sequence;0.99;0.01;10000;bubble;346.5226;347.7050;348.8874;0.4590;1.1824;14.5068
k_unordered_sequence;0.99;0.01;10000;merge;995.1610;997.6940;1000.2270;0.9833;2.5330;31.0786
k_unordered_sequence;0.99;0.01;10000;quick;655.8244;657.7330;659.6416;0.7409;1.9086;23.4181
k_unordered_sequence;0.99;0.01;10000;insertion;1442.8779;1445.2110;1447.5441;0.9057;2.3331;28.6276
k_unordered_sequence;0.99;0.02;100;bubble;3.8126;3.9370;4.0614;0.0483;0.1244;1.5274
k_unordered_sequence;0.99;0.02;100;merge;7.4453;7.6710;7.8967;0.0876;0.2257;2.7682
k_unordered_sequence;0.99;0.02;100;quick;9.3108;9.4350;9.5592;0.0482;0.1242;1.5224
k_unordered_sequence;0.99;0.02;100;insertion;14.4377;14.6180;14.7983;0.0700;0.1803;2.2132
k_unordered_sequence;0.99;0.02;1000;bubble;61.3510;61.7990;62.2470;0.1739;0.4480;5.4953
k_unordered_sequence;0.99;0.02;1000;merge;132.7227;133.3350;133.9473;0.2377;0.6123;7.5132
k_unordered_sequence;0.99;0.02;1000;quick;103.8994;104.4450;104.9906;0.2118;0.5456;6.6940
k_unordered_sequence;0.99;0.02;1000;insertion;185.2312;185.7410;186.2508;0.1979;0.5098;6.2564
k_unordered_sequence;0.99;0.02;10000;bubble;602.5912;604.1680;605.7448;0.6121;1.5768;19.3470
k_unordered_sequence;0.99;0.02;10000;merge;1725.0135;1727.4960;1729.9785;0.9637;2.4825;30.4595
k_unordered_sequence;0.99;0.02;10000;quick;1077.1452;1079.1800;1081.2148;0.7899;2.0348;24.9654
k_unordered_sequence;0.99;0.02;10000;insertion;1878.0298;1880.3660;1882.7022;0.9069;2.3362;28.6641
k_unordered_sequence;0.99;0.05;100;bubble;12.5776;12.7590;12.9404;0.0704;0.1814;2.2255
k_unordered_sequence;0.99;0.05;100;merge;17.0806;17.3990;17.7174;0.1236;0.3184;3.9051
k_unordered_sequence;0.99;0.05;100;quick;16.8264;17.0930;17.3596;0.1035;0.2666;3.2721
k_unordered_sequence;0.99;0.05;100;insertion;21.5544;21.7350;21.9156;0.0701;0.1806;2.2142
k_unordered_sequence;0.99;0.05;1000;bubble;116.7527;117.3720;117.9913;0.2404;0.6193;7.5989
k_unordered_sequence;0.99;0.05;1000;merge;244.3757;244.9860;245.5963;0.2369;0.6103;7.4872
