coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
largest_sorted_subarray;0.99;0.01;100;bubble;65.1117;66.4790;67.8463;0.5308;1.3673;16.7774
largest_sorted_subarray;0.99;0.01;100;merge;54.4769;55.9200;57.3631;0.5602;1.4431;17.7068
largest_sorted_subarray;0.99;0.01;100;quick;37.3794;38.4260;39.4726;0.4063;1.0466;12.8434
largest_sorted_subarray;0.99;0.01;100;insertion;19.6227;19.9310;20.2393;0.1197;0.3083;3.7847
largest_sorted_subarray;0.99;0.01;1000;bubble;249.4667;255.7040;261.9413;2.4213;6.2373;76.5302
largest_sorted_subarray;0.99;0.01;1000;merge;58.1199;58.7260;59.3321;0.2353;0.6061;7.4369
largest_sorted_subarray;0.99;0.01;1000;quick;64.4811;65.5360;66.5909;0.4095;1.0549;12.9424
largest_sorted_subarray;0.99;0.01;1000;insertion;26.3291;26.6820;27.0349;0.1370;0.3529;4.3307
largest_sorted_subarray;0.99;0.01;10000;bubble;566.3767;581.3860;596.3953;5.8266;15.0093;184.1617
largest_sorted_subarray;0.99;0.01;10000;merge;70.0290;71.0550;72.0810;0.3983;1.0260;12.5875
largest_sorted_subarray;0.99;0.01;10000;quick;92.5659;93.8840;95.2021;0.5117;1.3181;16.1731
largest_sorted_subarray;0.99;0.01;10000;insertion;35.3089;35.6430;35.9771;0.1297;0.3341;4.0985
largest_sorted_subarray;0.99;0.02;100;bubble;62.7163;64.2070;65.6977;0.5787;1.4907;18.2924
largest_sorted_subarray;0.99;0.02;100;merge;27.4048;28.3780;29.3512;0.3778;0.9732;11.9417
largest_sorted_subarray;0.99;0.02;100;quick;25.0154;25.5850;26.1546;0.2211;0.5696;6.9888
largest_sorted_subarray;0.99;0.02;100;insertion;16.8955;17.1750;17.4545;0.1085;0.2795;3.4305
largest_sorted_subarray;0.99;0.02;1000;bubble;171.8717;176.8320;181.7923;1.9256;4.9603;60.8622
largest_sorted_subarray;0.99;0.02;1000;merge;34.9473;35.6390;36.3307;0.2685;0.6917;8.4874
largest_sorted_subarray;0.99;0.02;1000;quick;39.7061;40.0580;40.4099;0.1366;0.3519;4.3179
largest_sorted_subarray;0.99;0.02;1000;insertion;19.7548;20.0570;20.3592;0.1173;0.3022;3.7067
largest_sorted_subarray;0.99;0.02;10000;bubble;351.6130;360.5370;369.4610;3.4643;8.9240;109.4964
largest_sorted_subarray;0.99;0.02;10000;merge;40.0616;40.7100;41.3584;0.2517;0.6484;7.9560
largest_sorted_subarray;0.99;0.02;10000;quick;55.6210;56.2300;56.8390;0.2364;0.6090;7.4731
largest_sorted_subarray;0.99;0.02;10000;insertion;25.8598;26.0950;26.3302;0.0913;0.2352;2.8872
largest_sorted_subarray;0.99;0.05;100;bubble;28.4235;29.1360;29.8485;0.2766;0.7125;8.7427
largest_sorted_subarray;0.99;0.05;100;merge;15.7739;16.1410;16.5081;0.1425;0.3671;4.5035
largest_sorted_subarray;0.99;0.05;100;quick;14.7216;15.0810;15.4404;0.1395;0.3594;4.4078
largest_sorted_subarray;0.99;0.05;100;insertion;11.0663;11.2920;11.5177;0.0876;0.2257;2.7703
largest_sorted_subarray;0.99;0.05;1000;bubble;92.2216;94.6250;97.0284;0.9330;2.4034;29.4902
largest_sorted_subarray;0.99;0.05;1000;merge;17.6231;17.8320;18.0409;0.0811;0.2089;2.5624
largest_sorted_subarray;0.99;0.05;1000;quick;23.1549;23.4790;23.8031;0.1258;0.3241;3.9759
largest_sorted_subarray;0.99;0.05;1000;insertion;13.6433;13.8120;13.9807;0.0655;0.1687;2.0714
largest_sorted_subarray;0.99;0.05;10000;bubble;157.6404;160.7870;163.9336;1.2215;3.1466;38.6072
largest_sorted_subarray;0.99;0.05;10000;merge;19.0686;19.3290;19.5894;0.1011;0.2604;3.1945
largest_sorted_subarray;0.99;0.05;10000;quick;29.5614;29.8710;30.1806;0.1202;0.3096;3.8006
largest_sorted_subarray;0.99;0.05;10000;insertion;17.8059;17.9450;18.0841;0.0540;0.1391;1.7070
largest_sorted_subarray;0.99;0.001;1000;bubble;631.2286;638.9267;646.6248;2.9884;7.6981;163.6560
largest_sorted_subarray;0.99;0.001;1000;merge;307.2673;312.2977;317.3281;1.9528;5.0304;106.9428
largest_sorted_subarray;0.99;0.001;1000;quick;275.0357;279.3023;283.5689;1.6563;4.2666;90.7065
largest_sorted_subarray;0.99;0.001;1000;insertion;72.5021;73.1203;73.7385;0.2400;0.6182;13.1416
largest_sorted_subarray;0.99;0.0001;10000;bubble;8201.7588;8276.5020;8351.2452;29.0152;74.7432;1588.9657
largest_sorted_subarray;0.99;0.0001;10000;merge;2632.4115;2678.8867;2725.3619;18.0416;46.4752;988.0153
largest_sorted_subarray;0.99;0.0001;10000;quick;2219.5047;2256.4077;2293.3107;14.3257;36.9030;784.5183
largest_sorted_subarray;0.99;0.0001;10000;insertion;254.6629;256.7827;258.9025;0.8229;2.1198;45.0659
largest_sorted_subarray;0.98;0.01;100;bubble;65.2444;66.4790;67.7136;0.5308;1.2346;16.7774
largest_sorted_subarray;0.98;0.01;100;merge;54.6170;55.9200;57.2230;0.5602;1.3030;17.7068
largest_sorted_subarray;0.98;0.01;100;quick;37.4809;38.4260;39.3711;0.4063;0.9451;12.8434
largest_sorted_subarray;0.98;0.01;100;insertion;19.6526;19.9310;20.2094;0.1197;0.2784;3.7847
largest_sorted_subarray;0.98;0.01;1000;bubble;250.0721;255.7040;261.3359;2.4213;5.6319;76.5302
largest_sorted_subarray;0.98;0.01;1000;merge;58.1787;58.7260;59.2733;0.2353;0.5473;7.4369
largest_sorted_subarray;0.98;0.01;1000;quick;64.5835;65.5360;66.4885;0.4095;0.9525;12.9424
largest_sorted_subarray;0.98;0.01;1000;insertion;26.3633;26.6820;27.0007;0.1370;0.3187;4.3307
largest_sorted_subarray;0.98;0.01;10000;bubble;567.8333;581.3860;594.9387;5.8266;13.5527;184.1617
largest_sorted_subarray;0.98;0.01;10000;merge;70.1286;71.0550;71.9814;0.3983;0.9264;12.5875
largest_sorted_subarray;0.98;0.01;10000;quick;92.6938;93.8840;95.0742;0.5117;1.1902;16.1731
