coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
percentual_k_unordered;0.99;0.01;100;bubble;2.4875;2.5990;2.7105;0.0433;0.1115;1.3683
percentual_k_unordered;0.99;0.01;100;merge;3.1058;3.2320;3.3582;0.0490;0.1262;1.5480
percentual_k_unordered;0.99;0.01;100;quick;5.2908;5.4330;5.5752;0.0552;0.1422;1.7440
percentual_k_unordered;0.99;0.01;100;insertion;11.2418;11.4850;11.7282;0.0944;0.2432;2.9853
percentual_k_unordered;0.99;0.01;1000;bubble;3.7873;3.8249;3.8625;0.0146;0.0376;0.4620
percentual_k_unordered;0.99;0.01;1000;merge;7.2380;7.2808;7.3236;0.0166;0.0428;0.5258
percentual_k_unordered;0.99;0.01;1000;quick;6.3002;6.3445;6.3888;0.0172;0.0443;0.5435
percentual_k_unordered;0.99;0.01;1000;insertion;14.4299;14.4861;14.5423;0.0218;0.0562;0.6904
percentual_k_unordered;0.99;0.01;10000;bubble;3.4652;3.4770;3.4888;0.0046;0.0118;0.1451
percentual_k_unordered;0.99;0.01;10000;merge;9.9517;9.9769;10.0021;0.0098;0.0252;0.3108
percentual_k_unordered;0.99;0.01;10000;quick;6.5582;6.5773;6.5964;0.0074;0.0191;0.2342
percentual_k_unordered;0.99;0.01;10000;insertion;14.4287;14.4521;14.4755;0.0091;0.0234;0.2863
percentual_k_unordered;0.99;0.02;100;bubble;3.8126;3.9370;4.0614;0.0483;0.1244;1.5274
percentual_k_unordered;0.99;0.02;100;merge;7.4453;7.6710;7.8967;0.0876;0.2257;2.7682
percentual_k_unordered;0.99;0.02;100;quick;9.3108;9.4350;9.5592;0.0482;0.1242;1.5224
percentual_k_unordered;0.99;0.02;100;insertion;14.4377;14.6180;14.7983;0.0700;0.1803;2.2132
percentual_k_unordered;0.99;0.02;1000;bubble;6.1351;6.1799;6.2247;0.0174;0.0448;0.5495
percentual_k_unordered;0.99;0.02;1000;merge;13.2722;13.3335;13.3948;0.0238;0.0613;0.7513
percentual_k_unordered;0.99;0.02;1000;quick;10.3899;10.4445;10.4991;0.0212;0.0546;0.6694
percentual_k_unordered;0.99;0.02;1000;insertion;18.5231;18.5741;18.6251;0.0198;0.0510;0.6256
percentual_k_unordered;0.99;0.02;10000;bubble;6.0260;6.0417;6.0574;0.0061;0.0157;0.1935
percentual_k_unordered;0.99;0.02;10000;merge;17.2503;17.2750;17.2997;0.0096;0.0247;0.3046
percentual_k_unordered;0.99;0.02;10000;quick;10.7714;10.7918;10.8122;0.0079;0.0204;0.2497
percentual_k_unordered;0.99;0.02;10000;insertion;18.7803;18.8037;18.8271;0.0091;0.0234;0.2866
percentual_k_unordered;0.99;0.05;100;bubble;12.5776;12.7590;12.9404;0.0704;0.1814;2.2255
percentual_k_unordered;0.99;0.05;100;merge;17.0806;17.3990;17.7174;0.1236;0.3184;3.9051
percentual_k_unordered;0.99;0.05;100;quick;16.8264;17.0930;17.3596;0.1035;0.2666;3.2721
percentual_k_unordered;0.99;0.05;100;insertion;21.5544;21.7350;21.9156;0.0701;0.1806;2.2142
percentual_k_unordered;0.99;0.05;1000;bubble;11.6754;11.7372;11.7990;0.0240;0.0618;0.7599
percentual_k_unordered;0.99;0.05;1000;merge;24.4375;24.4986;24.5597;0.0237;0.0611;0.7487
percentual_k_unordered;0.99;0.05;1000;quick;18.8155;18.8856;18.9557;0.0272;0.0701;0.8596
percentual_k_unordered;0.99;0.05;1000;insertion;25.4892;25.5513;25.6134;0.0241;0.0621;0.7630
percentual_k_unordered;0.99;0.05;10000;bubble;11.7657;11.7861;11.8065;0.0079;0.0204;0.2490
percentual_k_unordered;0.99;0.05;10000;merge;28.3005;28.3211;28.3417;0.0080;0.0206;0.2541
percentual_k_unordered;0.99;0.05;10000;quick;19.4330;19.4575;19.4820;0.0095;0.0245;0.3010
percentual_k_unordered;0.99;0.05;10000;insertion;25.5543;25.5775;25.6007;0.0090;0.0232;0.2839
percentual_k_unordered;0.99;0.001;1000;bubble;0.4508;0.4585;0.4662;0.0030;0.0077;0.1648
percentual_k_unordered;0.99;0.001;1000;merge;0.8123;0.8231;0.8339;0.0042;0.0108;0.2273
percentual_k_unordered;0.99;0.001;1000;quick;0.9238;0.9387;0.9536;0.0058;0.0149;0.3160
percentual_k_unordered;0.99;0.001;1000;insertion;4.7211;4.7456;4.7701;0.0095;0.0245;0.5182
percentual_k_unordered;0.99;0.0001;10000;bubble;0.0536;0.0546;0.0556;0.0004;0.0010;0.0232
percentual_k_unordered;0.99;0.0001;10000;merge;0.1063;0.1081;0.1099;0.0007;0.0018;0.0365
percentual_k_unordered;0.99;0.0001;10000;quick;0.1381;0.1399;0.1417;0.0007;0.0018;0.0393
percentual_k_unordered;0.99;0.0001;10000;insertion;1.7893;1.7950;1.8007;0.0022;0.0057;0.1200
percentual_k_unordered;0.98;0.01;100;bubble;2.4983;2.5990;2.6997;0.0433;0.1007;1.3683
percentual_k_unordered;0.98;0.01;100;merge;3.1180;3.2320;3.3460;0.0490;0.1140;1.5480
percentual_k_unordered;0.98;0.01;100;quick;5.3046;5.4330;5.5614;0.0552;0.1284;1.7440
percentual_k_unordered;0.98;0.01;100;insertion;11.2654;11.4850;11.7046;0.0944;0.2196;2.9853
percentual_k_unordered;0.98;0.01;1000;bubble;3.7909;3.8249;3.8589;0.0146;0.0340;0.4620
