coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
percentual_maior_array;0.99;0.01;100;bubble;65.1117;66.4790;67.8463;0.5308;1.3673;16.7774
percentual_maior_array;0.99;0.01;100;merge;54.4769;55.9200;57.3631;0.5602;1.4431;17.7068
percentual_maior_array;0.99;0.01;100;quick;37.3794;38.4260;39.4726;0.4063;1.0466;12.8434
percentual_maior_array;0.99;0.01;100;insertion;19.6227;19.9310;20.2393;0.1197;0.3083;3.7847
percentual_maior_array;0.99;0.01;1000;bubble;24.9468;25.5704;26.1940;0.2421;0.6236;7.6530
percentual_maior_array;0.99;0.01;1000;merge;5.8121;5.8726;5.9331;0.0235;0.0605;0.7437
percentual_maior_array;0.99;0.01;1000;quick;6.4482;6.5536;6.6590;0.0409;0.1054;1.2942
percentual_maior_array;0.99;0.01;1000;insertion;2.6329;2.6682;2.7035;0.0137;0.0353;0.4331
percentual_maior_array;0.99;0.01;10000;bubble;5.6637;5.8139;5.9641;0.0583;0.1502;1.8416
percentual_maior_array;0.99;0.01;10000;merge;0.7002;0.7105;0.7208;0.0040;0.0103;0.1259
percentual_maior_array;0.99;0.01;10000;quick;0.9257;0.9388;0.9519;0.0051;0.0131;0.1617
percentual_maior_array;0.99;0.01;10000;insertion;0.3531;0.3564;0.3597;0.0013;0.0033;0.0410
percentual_maior_array;0.99;0.02;100;bubble;62.7163;64.2070;65.6977;0.5787;1.4907;18.2924
percentual_maior_array;0.99;0.02;100;merge;27.4048;28.3780;29.3512;0.3778;0.9732;11.9417
percentual_maior_array;0.99;0.02;100;quick;25.0154;25.5850;26.1546;0.2211;0.5696;6.9888
percentual_maior_array;0.99;0.02;100;insertion;16.8955;17.1750;17.4545;0.1085;0.2795;3.4305
percentual_maior_array;0.99;0.02;1000;bubble;17.1871;17.6832;18.1793;0.1926;0.4961;6.0862
percentual_maior_array;0.99;0.02;1000;merge;3.4946;3.5639;3.6332;0.0269;0.0693;0.8487
percentual_maior_array;0.99;0.02;1000;quick;3.9705;4.0058;4.0411;0.0137;0.0353;0.4318
percentual_maior_array;0.99;0.02;1000;insertion;1.9756;2.0057;2.0358;0.0117;0.0301;0.3707
percentual_maior_array;0.99;0.02;10000;bubble;3.5163;3.6054;3.6945;0.0346;0.0891;1.0950
percentual_maior_array;0.99;0.02;10000;merge;0.4007;0.4071;0.4135;0.0025;0.0064;0.0796
percentual_maior_array;0.99;0.02;10000;quick;0.5561;0.5623;0.5685;0.0024;0.0062;0.0747
percentual_maior_array;0.99;0.02;10000;insertion;0.2587;0.2610;0.2633;0.0009;0.0023;0.0289
percentual_maior_array;0.99;0.05;100;bubble;28.4235;29.1360;29.8485;0.2766;0.7125;8.7427
percentual_maior_array;0.99;0.05;100;merge;15.7739;16.1410;16.5081;0.1425;0.3671;4.5035
percentual_maior_array;0.99;0.05;100;quick;14.7216;15.0810;15.4404;0.1395;0.3594;4.4078
percentual_maior_array;0.99;0.05;100;insertion;11.0663;11.2920;11.5177;0.0876;0.2257;2.7703
percentual_maior_array;0.99;0.05;1000;bubble;9.2222;9.4625;9.7028;0.0933;0.2403;2.9490
percentual_maior_array;0.99;0.05;1000;merge;1.7623;1.7832;1.8041;0.0081;0.0209;0.2562
percentual_maior_array;0.99;0.05;1000;quick;2.3154;2.3479;2.3804;0.0126;0.0325;0.3976
percentual_maior_array;0.99;0.05;1000;insertion;1.3642;1.3812;1.3982;0.0066;0.0170;0.2071
percentual_maior_array;0.99;0.05;10000;bubble;1.5765;1.6079;1.6393;0.0122;0.0314;0.3861
percentual_maior_array;0.99;0.05;10000;merge;0.1907;0.1933;0.1959;0.0010;0.0026;0.0319
percentual_maior_array;0.99;0.05;10000;quick;0.2956;0.2987;0.3018;0.0012;0.0031;0.0380
percentual_maior_array;0.99;0.05;10000;insertion;0.1781;0.1794;0.1807;0.0005;0.0013;0.0171
percentual_maior_array;0.99;0.001;1000;bubble;63.1230;63.8927;64.6624;0.2988;0.7697;16.3656
percentual_maior_array;0.99;0.001;1000;merge;30.7267;31.2298;31.7329;0.1953;0.5031;10.6943
percentual_maior_array;0.99;0.001;1000;quick;27.5036;27.9302;28.3568;0.1656;0.4266;9.0706
percentual_maior_array;0.99;0.001;1000;insertion;7.2502;7.3120;7.3738;0.0240;0.0618;1.3142
percentual_maior_array;0.99;0.0001;10000;bubble;82.0174;82.7650;83.5126;0.2902;0.7476;15.8897
percentual_maior_array;0.99;0.0001;10000;merge;26.3242;26.7889;27.2536;0.1804;0.4647;9.8802
percentual_maior_array;0.99;0.0001;10000;quick;22.1950;22.5641;22.9332;0.1433;0.3691;7.8452
percentual_maior_array;0.99;0.0001;10000;insertion;2.5467;2.5678;2.5889;0.0082;0.0211;0.4507
percentual_maior_array;0.98;0.01;100;bubble;65.2444;66.4790;67.7136;0.5308;1.2346;16.7774
percentual_maior_array;0.98;0.01;100;merge;54.6170;55.9200;57.2230;0.5602;1.3030;17.7068
percentual_maior_array;0.98;0.01;100;quick;37.4809;38.4260;39.3711;0.4063;0.9451;12.8434
percentual_maior_array;0.98;0.01;100;insertion;19.6526;19.9310;20.2094;0.1197;0.2784;3.7847
percentual_maior_array;0.98;0.01;1000;bubble;25.0073;25.5704;26.1335;0.2421;0.5631;7.6530
percentual_maior_array;0.98;0.01;1000;merge;5.8179;5.8726;5.9273;0.0235;0.0547;0.7437
percentual_maior_array;0.98;0.01;1000;quick;6.4585;6.5536;6.6487;0.0409;0.0951;1.2942
percentual_maior_array;0.98;0.01;1000;insertion;2.6363;2.6682;2.7001;0.0137;0.0319;0.4331
percentual_maior_array;0.98;0.01;10000;bubble;5.6783;5.8139;5.9495;0.0583;0.1356;1.8416
percentual_maior_array;0.98;0.01;10000;merge;0.7012;0.7105;0.7198;0.0040;0.0093;0.1259
percentual_maior_array;0.98;0.01;10000;quick;0.9269;0.9388;0.9507;0.0051;0.0119;0.1617
percentual_maior_array;0.98;0.01;10000;insertion;0.3534;0.3564;0.3594;0.0013;0.0030;0.0410
percentual_maior_array;0.98;0.02;100;bubble;62.8609;64.2070;65.5531;0.5787;1.3461;18.2924
percentual_maior_array;0.98;0.02;100;merge;27.4992;28.3780;29.2568;0.3778;0.8788;11.9417
percentual_maior_array;0.98;0.02;100;quick;25.0707;25.5850;26.0993;0.2211;0.5143;6.9888
percentual_maior_array;0.98;0.02;100;insertion;16.9226;17.1750;17.4274;0.1085;0.2524;3.4305
percentual_maior_array;0.98;0.02;1000;bubble;17.2352;17.6832;18.1312;0.1926;0.4480;6.0862
percentual_maior_array;0.98;0.02;1000;merge;3.5013;3.5639;3.6265;0.0269;0.0626;0.8487
percentual_maior_array;0.98;0.02;1000;quick;3.9739;4.0058;4.0377;0.0137;0.0319;0.4318
percentual_maior_array;0.98;0.02;1000;insertion;1.9785;2.0057;2.0329;0.0117;0.0272;0.3707
percentual_maior_array;0.98;0.02;10000;bubble;3.5249;3.6054;3.6859;0.0346;0.0805;1.0950
percentual_maior_array;0.98;0.02;10000;merge;0.4013;0.4071;0.4129;0.0025;0.0058;0.0796
