bubble,insertion,merge,quick
0.2,4.0,1.0,0.4
0.7,4.2,1.0,1.0
0.4,4.8,0.9,0.5
0.4,4.1,0.9,0.5
0.5,4.6,0.8,1.0
0.6,5.0,0.9,0.4
0.9,4.8,1.2,1.5
0.6,5.0,0.9,0.4
0.5,4.6,0.8,1.0
0.9,4.8,1.2,1.5
0.3,4.0,1.0,0.4
0.2,4.0,1.0,0.4
0.4,5.7,0.7,0.4
0.9,4.8,1.2,1.5
0.3,4.6,0.8,1.2
0.5,4.6,0.8,1.0
0.3,4.7,0.8,1.6
0.4,5.0,0.6,0.6
0.5,4.6,0.8,1.0
0.4,5.7,1.1,0.4
0.5,4.2,1.0,1.0
0.5,4.2,0.8,1.0
0.2,5.7,1.1,0.4
0.4,5.0,0.6,0.6
0.3,4.7,0.8,1.6
0.6,4.1,0.7,0.6
0.3,4.1,1.2,1.0
0.5,5.0,0.8,0.5
0.3,4.1,0.7,0.6
0.3,4.1,1.2,1.0
0.1,4.1,1.2,1.0
0.5,5.5,0.8,0.5
0.5,5.5,0.8,0.5
0.4,5.2,1.0,0.7
0.3,4.7,0.8,0.5
0.4,5.1,1.0,0.7
0.6,4.8,0.8,0.8
0.6,5.1,0.8,0.7
0.6,5.1,0.8,0.7
0.4,5.2,1.0,0.7
0.3,4.7,0.8,0.5
0.6,4.8,0.8,0.8
0.4,4.5,0.5,1.7
0.7,4.6,0.5,1.4
0.7,4.6,0.5,1.1
0.4,4.5,0.5,0.7
0.6,4.7,0.7,0.5
0.6,4.8,0.8,0.8
0.5,5.2,0.5,1.1
0.4,5.5,0.3,0.5
0.4,4.7,1.0,0.9
0.7,4.6,0.5,1.1
0.4,5.5,0.3,0.5
0.5,5.2,0.5,1.1
0.5,4.5,0.9,1.7
0.3,4.7,0.6,0.9
0.4,4.7,1.0,0.9
0.5,4.5,0.9,1.1
0.5,5.2,0.5,1.5
0.6,4.4,0.9,1.2
0.5,5.5,0.3,1.3
0.4,5.2,0.5,1.2
0.5,5.5,0.3,1.3
0.6,4.8,0.6,0.7
0.6,4.4,0.7,1.2
0.7,4.8,0.6,0.7
0.4,4.4,0.7,1.0
0.3,5.0,0.9,1.1
0.4,5.2,0.5,1.2
0.5,5.1,0.8,1.1
0.5,5.1,0.8,1.1
0.4,5.2,0.5,1.2
0.3,5.0,0.9,1.1
0.7,4.8,0.6,0.7
0.7,5.1,0.7,0.7
0.2,4.0,0.5,1.0
0.2,4.0,0.5,1.0
0.7,5.1,0.7,0.7
0.2,4.8,0.5,1.0
0.4,5.7,0.7,1.0
0.4,3.9,0.7,1.0
0.3,5.1,1.0,0.5
0.5,4.7,1.3,1.2
0.4,3.9,0.7,1.0
0.5,4.1,0.8,1.2
0.3,4.1,0.8,0.6
0.3,5.1,1.0,0.5
0.5,4.7,1.3,1.2
0.5,4.1,0.9,0.9
0.6,3.9,0.9,0.9
0.7,4.0,1.0,1.1
0.6,4.0,1.0,1.1
0.6,3.9,0.9,0.9
0.7,5.1,0.7,0.5
0.6,4.1,0.9,0.9
0.5,4.7,1.3,1.2
0.6,3.9,0.9,0.9
0.7,4.0,1.0,1.1
0.5,4.7,1.3,1.2
0.6,4.1,0.9,0.9
0.7,5.1,0.7,0.5
0.5,4.1,0.9,0.9
0.5,4.7,1.3,1.2
0.7,4.0,1.0,1.1
0.4,3.9,0.9,0.9
0.3,4.1,0.8,0.6
0.3,5.1,1.0,0.5
0.5,4.7,1.3,1.2
0.3,5.1,1.0,0.5
0.5,4.8,0.8,1.2
0.4,3.9,0.7,1.0
0.4,3.9,0.7,1.0
0.4,5.7,0.7,1.0
0.2,4.8,0.5,1.0
0.2,4.0,0.5,1.0
0.7,5.1,0.7,0.7
0.7,5.1,0.7,0.7
0.2,4.0,0.5,1.0
0.4,5.2,0.5,1.2
0.5,5.1,0.8,1.1
0.7,4.8,0.6,0.7
0.3,5.0,0.9,1.1
0.3,5.0,0.9,1.1
0.4,4.4,0.7,1.0
0.7,4.8,0.6,0.7
0.5,5.1,0.8,1.1
0.4,5.2,0.5,1.2
0.5,5.5,0.3,1.3
0.4,5.2,0.5,1.2
0.6,4.4,0.7,1.2
0.6,4.8,0.6,0.7
0.6,4.4,0.9,1.2
0.5,5.5,0.3,1.3
0.4,4.7,1.0,0.9
0.5,5.2,0.5,1.5
0.5,4.5,0.9,1.1
0.5,4.5,0.9,1.7
0.4,4.7,0.6,0.9
0.4,5.5,0.3,0.5
0.5,5.2,0.5,1.1
0.5,5.2,0.5,1.1
0.7,4.6,0.5,1.1
0.4,4.7,1.0,0.9
0.4,5.5,0.3,0.5
0.7,4.6,0.5,1.1
0.6,4.8,0.8,0.8
0.6,4.7,0.7,0.5
0.5,4.5,0.5,0.7
0.4,4.5,0.5,1.7
0.6,4.8,0.8,0.8
0.7,4.6,0.5,1.4
0.6,5.1,0.8,1.4
0.3,4.7,0.7,0.5
0.4,5.2,1.0,0.7
0.6,5.0,0.8,0.8
0.4,5.1,1.0,0.7
0.3,4.7,0.8,0.5
0.6,5.1,0.8,0.7
0.5,5.5,0.8,0.5
0.4,5.2,1.0,0.7
0.1,4.1,1.2,1.0
0.5,5.5,0.8,0.5
0.5,5.0,0.8,0.5
0.3,4.1,1.2,1.0
0.3,4.1,0.7,0.6
0.3,4.1,1.2,1.0
0.6,4.1,0.7,0.6
0.2,5.7,1.1,0.4
0.5,4.2,0.8,1.0
0.3,4.7,0.8,1.6
0.4,5.0,0.6,0.6
0.5,4.6,0.8,1.0
0.9,5.1,0.5,1.1
0.4,5.0,0.6,0.6
0.3,4.7,0.8,1.6
0.5,4.2,1.0,1.0
0.4,5.7,1.1,0.4
0.9,4.8,1.2,1.5
0.4,5.7,0.7,0.4
0.2,4.0,1.0,0.4
0.5,4.6,0.8,1.0
0.3,4.6,0.8,1.2
0.5,4.6,0.8,1.0
0.3,4.0,1.0,0.4
0.9,4.8,1.2,1.5
0.9,4.8,1.2,1.5
0.6,5.0,0.9,0.4
0.6,5.0,0.9,0.4
0.5,4.6,0.8,1.0
0.4,4.8,0.9,0.5
0.4,4.8,1.2,0.5
0.7,4.2,1.0,1.0
0.2,4.0,1.0,0.4
0.4,4.8,0.9,0.5
0.5,4.6,0.8,1.0
0.5,4.0,1.0,0.4
0.4,4.8,1.2,0.5
0.6,5.0,0.9,0.4
0.6,5.0,0.9,0.4
0.5,4.6,0.8,1.0
