bubble,insertion,merge,quick
2,11,4,6
5,15,5,4
5,15,5,4
3,11,4,6
5,15,5,4
3,10,4,6
3,10,4,6
3,15,5,5
3,15,5,5
4,6,4,4
3,12,4,8
3,6,4,8
2,15,3,9
2,12,1,5
2,12,1,5
2,15,3,9
2,12,1,5
3,15,5,5
1,12,2,8
2,15,5,5
1,12,2,8
1,12,2,8
3,10,6,6
4,9,1,5
6,12,2,6
6,12,2,6
4,9,1,5
3,10,4,6
1,9,5,4
1,12,2,6
1,12,2,5
1,9,5,4
1,9,5,4
1,12,2,5
1,12,2,5
1,9,5,4
1,9,5,4
1,12,2,5
1,12,2,6
1,9,5,4
4,9,1,5
6,12,2,6
3,10,4,6
3,10,6,6
6,12,2,6
4,9,1,5
1,12,2,8
1,12,2,8
2,15,5,5
1,12,2,8
3,15,5,5
2,12,1,5
2,12,1,5
2,15,3,9
2,15,3,9
2,12,1,5
3,6,4,8
3,12,4,8
4,6,4,4
3,15,5,5
3,15,5,5
3,10,4,6
3,10,4,6
5,15,5,4
5,15,5,4
3,11,4,6
2,11,4,6
5,15,5,4
2,11,4,6
5,15,5,4
5,15,5,4
2,11,4,6
3,10,4,6
3,10,4,6
3,10,4,6
3,15,5,5
3,15,5,5
3,15,5,5
3,6,4,8
3,12,4,8
2,15,3,9
2,12,1,5
2,12,1,5
3,12,2,8
2,15,3,9
2,15,3,5
3,15,5,5
3,15,5,5
1,12,2,8
1,12,2,8
3,10,4,6
6,12,2,6
4,9,1,5
4,9,1,5
6,12,2,6
3,10,6,6
3,10,4,6
1,9,5,4
1,12,2,5
1,12,2,5
1,9,5,4
1,9,5,4
1,12,2,5
1,12,2,5
1,9,5,4
3,10,4,6
6,12,2,6
4,9,1,5
3,10,6,6
3,10,4,6
4,9,1,5
6,12,2,6
1,12,2,8
1,12,2,8
3,15,5,5
3,15,5,5
2,15,3,5
2,12,1,5
2,15,3,9
3,12,2,8
2,15,3,9
2,12,1,5
3,12,4,8
3,6,4,8
3,15,5,5
3,15,5,5
3,15,5,5
3,10,4,6
3,10,4,6
3,10,4,6
5,15,5,4
2,11,4,6
2,11,4,6
5,15,5,4
3,10,4,6
5,15,5,4
2,11,4,6
2,11,4,6
5,15,5,4
3,10,4,6
3,10,4,6
3,15,5,5
3,15,5,5
3,15,5,5
3,6,4,8
3,12,4,8
2,15,3,9
2,12,1,5
3,12,4,8
2,15,3,9
2,15,3,9
2,12,1,5
1,12,2,8
1,12,2,8
2,15,5,5
3,15,5,5
3,10,4,6
6,12,2,6
4,9,1,5
3,10,4,6
3,10,6,6
1,9,1,5
1,12,2,6
1,9,5,4
1,12,2,6
1,12,1,5
1,9,5,4
1,9,5,4
1,12,2,5
1,12,2,6
1,9,5,4
3,10,6,6
1,12,2,6
1,9,1,5
4,9,1,5
6,12,2,6
3,10,4,6
3,10,4,6
3,15,5,5
2,15,5,5
1,12,2,8
1,12,2,8
2,15,3,9
2,12,1,5
2,12,1,5
2,15,3,9
3,12,4,8
2,15,3,9
3,12,4,8
3,6,4,8
3,15,5,5
3,15,5,5
3,15,5,5
3,10,4,6
3,10,4,6
2,11,4,6
5,15,5,4
5,15,5,4
2,11,4,6
3,10,4,6
5,15,5,4
5,15,5,4
2,11,4,6
2,11,4,6
5,15,5,4
3,10,4,6
3,10,4,6
3,15,5,5
3,15,5,5
3,12,4,8
3,6,4,8
4,6,4,4
2,12,1,5
2,12,1,5
2,15,3,9
2,15,3,9
2,12,1,5
1,12,2,8
1,12,2,8
3,15,5,5
2,15,5,5
1,12,2,8
