algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray
merge;0.05;10000;17
merge;0.05;10000;20
merge;0.05;10000;15
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;18
merge;0.05;10000;24
merge;0.05;10000;17
merge;0.05;10000;18
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;18
merge;0.05;10000;21
merge;0.05;10000;17
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;29
merge;0.05;10000;18
merge;0.05;10000;29
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;16
merge;0.05;10000;18
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;18
merge;0.05;10000;18
merge;0.05;10000;18
merge;0.05;10000;18
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;18
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;29
merge;0.05;10000;18
merge;0.05;10000;29
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;17
merge;0.05;10000;18
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;18
merge;0.05;10000;18
merge;0.05;10000;24
merge;0.05;10000;17
merge;0.05;10000;15
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;20
merge;0.05;10000;17
merge;0.05;10000;15
merge;0.05;10000;20
merge;0.05;10000;17
merge;0.05;10000;15
merge;0.05;10000;20
merge;0.05;10000;18
merge;0.05;10000;17
merge;0.05;10000;24
merge;0.05;10000;18
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;24
merge;0.05;10000;17
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;29
merge;0.05;10000;29
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;21
merge;0.05;10000;24
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;18
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;18
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;24
merge;0.05;10000;21
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;29
merge;0.05;10000;29
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;24
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;24
merge;0.05;10000;17
merge;0.05;10000;18
merge;0.05;10000;18
merge;0.05;10000;24
merge;0.05;10000;20
merge;0.05;10000;15
merge;0.05;10000;20
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;15
merge;0.05;10000;15
merge;0.05;10000;15
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;20
merge;0.05;10000;20
merge;0.05;10000;24
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;18
merge;0.05;10000;20
merge;0.05;10000;18
merge;0.05;10000;24
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;24
merge;0.05;10000;29
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;18
merge;0.05;10000;16
merge;0.05;10000;18
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;29
merge;0.05;10000;24
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;18
merge;0.05;10000;24
merge;0.05;10000;17
merge;0.05;10000;20
merge;0.05;10000;18
merge;0.05;10000;17
merge;0.05;10000;24
merge;0.05;10000;17
merge;0.05;10000;20
merge;0.05;10000;17
merge;0.05;10000;20
merge;0.05;10000;15
merge;0.05;10000;17
merge;0.05;10000;15
merge;0.05;10000;17
merge;0.05;10000;20
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;15
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;24
merge;0.05;10000;18
merge;0.05;10000;18
merge;0.05;10000;17
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;17
merge;0.05;10000;18
merge;0.05;10000;29
merge;0.05;10000;24
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;16
merge;0.05;10000;18
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;18
merge;0.05;10000;18
merge;0.05;10000;17
merge;0.05;10000;16
merge;0.05;10000;18
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;24
merge;0.05;10000;29
merge;0.05;10000;18
merge;0.05;10000;21
merge;0.05;10000;17
merge;0.05;10000;21
merge;0.05;10000;18
merge;0.05;10000;17
merge;0.05;10000;24
merge;0.05;10000;18
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;15
merge;0.05;10000;20
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;18
merge;0.05;10000;17
merge;0.05;10000;20
merge;0.05;10000;17
merge;0.05;10000;18
merge;0.05;10000;22
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;21
merge;0.05;10000;23
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;17
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;16
merge;0.05;10000;19
merge;0.05;10000;19
merge;0.05;10000;23
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;19
merge;0.05;10000;23
merge;0.05;10000;16
merge;0.05;10000;19
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;17
merge;0.05;10000;23
merge;0.05;10000;21
merge;0.05;10000;23
merge;0.05;10000;24
merge;0.05;10000;21
merge;0.05;10000;22
merge;0.05;10000;24
merge;0.05;10000;17
merge;0.05;10000;18
merge;0.05;10000;18
merge;0.05;10000;20
merge;0.05;10000;17
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;23
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;16
merge;0.05;10000;14
merge;0.05;10000;23
merge;0.05;10000;22
merge;0.05;10000;17
merge;0.05;10000;17
merge;0.05;10000;18
merge;0.05;10000;17
merge;0.05;10000;21
merge;0.05;10000;24
merge;0.05;10000;24
merge;0.05;10000;23
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;21
merge;0.05;10000;18
