algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray;k_unordered_sequence;percentual_k_unordered;percentual_maior_array
insertion;0.0001;10000;306;196;1.96;3.06
insertion;0.0001;10000;310;175;1.75;3.1
insertion;0.0001;10000;234;185;1.85;2.34
insertion;0.0001;10000;303;188;1.88;3.03
insertion;0.0001;10000;190;195;1.95;1.9
insertion;0.0001;10000;321;185;1.85;3.21
insertion;0.0001;10000;337;155;1.55;3.37
insertion;0.0001;10000;244;161;1.61;2.44
insertion;0.0001;10000;194;175;1.75;1.94
insertion;0.0001;10000;211;178;1.78;2.11
insertion;0.0001;10000;268;169;1.69;2.68
insertion;0.0001;10000;276;174;1.74;2.76
insertion;0.0001;10000;238;192;1.92;2.38
insertion;0.0001;10000;240;193;1.93;2.4
insertion;0.0001;10000;207;192;1.92;2.07
insertion;0.0001;10000;292;151;1.51;2.92
insertion;0.0001;10000;257;185;1.85;2.57
insertion;0.0001;10000;280;185;1.85;2.8
insertion;0.0001;10000;207;181;1.81;2.07
insertion;0.0001;10000;266;182;1.82;2.66
insertion;0.0001;10000;223;184;1.84;2.23
insertion;0.0001;10000;246;178;1.78;2.46
insertion;0.0001;10000;215;196;1.96;2.15
insertion;0.0001;10000;233;183;1.83;2.33
insertion;0.0001;10000;240;187;1.87;2.4
insertion;0.0001;10000;246;173;1.73;2.46
insertion;0.0001;10000;225;184;1.84;2.25
insertion;0.0001;10000;237;175;1.75;2.37
insertion;0.0001;10000;241;177;1.77;2.41
insertion;0.0001;10000;204;172;1.72;2.04
insertion;0.0001;10000;250;154;1.54;2.5
insertion;0.0001;10000;315;182;1.82;3.15
insertion;0.0001;10000;269;192;1.92;2.69
insertion;0.0001;10000;247;173;1.73;2.47
insertion;0.0001;10000;306;191;1.91;3.06
insertion;0.0001;10000;300;167;1.67;3.0
insertion;0.0001;10000;279;188;1.88;2.79
insertion;0.0001;10000;239;177;1.77;2.39
insertion;0.0001;10000;233;187;1.87;2.33
insertion;0.0001;10000;216;171;1.71;2.16
insertion;0.0001;10000;210;175;1.75;2.1
insertion;0.0001;10000;218;178;1.78;2.18
insertion;0.0001;10000;201;206;2.06;2.01
insertion;0.0001;10000;357;170;1.7;3.57
insertion;0.0001;10000;284;183;1.83;2.84
insertion;0.0001;10000;207;180;1.8;2.07
insertion;0.0001;10000;204;214;2.14;2.04
insertion;0.0001;10000;314;185;1.85;3.14
insertion;0.0001;10000;227;188;1.88;2.27
insertion;0.0001;10000;258;172;1.72;2.58
insertion;0.0001;10000;249;190;1.9;2.49
insertion;0.0001;10000;285;169;1.69;2.85
insertion;0.0001;10000;296;185;1.85;2.96
insertion;0.0001;10000;213;186;1.86;2.13
insertion;0.0001;10000;271;168;1.68;2.71
insertion;0.0001;10000;296;178;1.78;2.96
insertion;0.0001;10000;273;179;1.79;2.73
insertion;0.0001;10000;328;171;1.71;3.28
insertion;0.0001;10000;262;164;1.64;2.62
insertion;0.0001;10000;254;172;1.72;2.54
insertion;0.0001;10000;289;169;1.69;2.89
insertion;0.0001;10000;259;188;1.88;2.59
insertion;0.0001;10000;243;157;1.57;2.43
insertion;0.0001;10000;344;183;1.83;3.44
insertion;0.0001;10000;254;176;1.76;2.54
insertion;0.0001;10000;249;218;2.18;2.49
insertion;0.0001;10000;179;192;1.92;1.79
insertion;0.0001;10000;277;170;1.7;2.77
insertion;0.0001;10000;231;183;1.83;2.31
insertion;0.0001;10000;305;154;1.54;3.05
insertion;0.0001;10000;237;168;1.68;2.37
insertion;0.0001;10000;237;176;1.76;2.37
insertion;0.0001;10000;242;150;1.5;2.42
insertion;0.0001;10000;292;192;1.92;2.92
insertion;0.0001;10000;233;178;1.78;2.33
insertion;0.0001;10000;248;188;1.88;2.48
insertion;0.0001;10000;241;182;1.82;2.41
insertion;0.0001;10000;437;156;1.56;4.37
insertion;0.0001;10000;238;181;1.81;2.38
insertion;0.0001;10000;243;184;1.84;2.43
insertion;0.0001;10000;248;184;1.84;2.48
insertion;0.0001;10000;277;183;1.83;2.77
insertion;0.0001;10000;192;184;1.84;1.92
insertion;0.0001;10000;243;171;1.71;2.43
insertion;0.0001;10000;277;183;1.83;2.77
insertion;0.0001;10000;244;178;1.78;2.44
insertion;0.0001;10000;251;168;1.68;2.51
insertion;0.0001;10000;340;173;1.73;3.4
insertion;0.0001;10000;290;171;1.71;2.9
insertion;0.0001;10000;220;189;1.89;2.2
insertion;0.0001;10000;240;167;1.67;2.4
insertion;0.0001;10000;330;172;1.72;3.3
insertion;0.0001;10000;220;191;1.91;2.2
insertion;0.0001;10000;330;172;1.72;3.3
insertion;0.0001;10000;239;166;1.66;2.39
insertion;0.0001;10000;189;190;1.9;1.89
insertion;0.0001;10000;240;167;1.67;2.4
insertion;0.0001;10000;220;189;1.89;2.2
insertion;0.0001;10000;340;173;1.73;3.4
insertion;0.0001;10000;277;183;1.83;2.77
insertion;0.0001;10000;260;191;1.91;2.6
insertion;0.0001;10000;244;178;1.78;2.44
insertion;0.0001;10000;277;183;1.83;2.77
insertion;0.0001;10000;243;171;1.71;2.43
insertion;0.0001;10000;192;184;1.84;1.92
insertion;0.0001;10000;238;181;1.81;2.38
insertion;0.0001;10000;437;156;1.56;4.37
insertion;0.0001;10000;241;182;1.82;2.41
insertion;0.0001;10000;248;184;1.84;2.48
insertion;0.0001;10000;329;163;1.63;3.29
insertion;0.0001;10000;292;192;1.92;2.92
insertion;0.0001;10000;242;150;1.5;2.42
insertion;0.0001;10000;248;188;1.88;2.48
insertion;0.0001;10000;233;178;1.78;2.33
insertion;0.0001;10000;211;187;1.87;2.11
insertion;0.0001;10000;226;178;1.78;2.26
insertion;0.0001;10000;305;154;1.54;3.05
insertion;0.0001;10000;250;176;1.76;2.5
insertion;0.0001;10000;277;170;1.7;2.77
insertion;0.0001;10000;179;192;1.92;1.79
insertion;0.0001;10000;249;218;2.18;2.49
insertion;0.0001;10000;230;179;1.79;2.3
insertion;0.0001;10000;259;188;1.88;2.59
insertion;0.0001;10000;289;169;1.69;2.89
insertion;0.0001;10000;344;183;1.83;3.44
insertion;0.0001;10000;243;157;1.57;2.43
insertion;0.0001;10000;262;164;1.64;2.62
insertion;0.0001;10000;328;171;1.71;3.28
insertion;0.0001;10000;209;179;1.79;2.09
insertion;0.0001;10000;254;172;1.72;2.54
insertion;0.0001;10000;213;186;1.86;2.13
insertion;0.0001;10000;296;178;1.78;2.96
insertion;0.0001;10000;271;168;1.68;2.71
insertion;0.0001;10000;249;190;1.9;2.49
insertion;0.0001;10000;258;172;1.72;2.58
insertion;0.0001;10000;296;185;1.85;2.96
insertion;0.0001;10000;255;170;1.7;2.55
insertion;0.0001;10000;204;214;2.14;2.04
insertion;0.0001;10000;237;163;1.63;2.37
insertion;0.0001;10000;314;185;1.85;3.14
insertion;0.0001;10000;254;171;1.71;2.54
insertion;0.0001;10000;207;180;1.8;2.07
insertion;0.0001;10000;284;183;1.83;2.84
insertion;0.0001;10000;201;206;2.06;2.01
insertion;0.0001;10000;465;152;1.52;4.65
insertion;0.0001;10000;210;175;1.75;2.1
insertion;0.0001;10000;279;188;1.88;2.79
insertion;0.0001;10000;216;171;1.71;2.16
insertion;0.0001;10000;233;187;1.87;2.33
insertion;0.0001;10000;239;177;1.77;2.39
insertion;0.0001;10000;247;173;1.73;2.47
insertion;0.0001;10000;269;192;1.92;2.69
insertion;0.0001;10000;300;167;1.67;3.0
insertion;0.0001;10000;306;191;1.91;3.06
insertion;0.0001;10000;182;171;1.71;1.82
insertion;0.0001;10000;241;177;1.77;2.41
insertion;0.0001;10000;237;175;1.75;2.37
insertion;0.0001;10000;315;182;1.82;3.15
insertion;0.0001;10000;250;154;1.54;2.5
insertion;0.0001;10000;285;183;1.83;2.85
insertion;0.0001;10000;233;183;1.83;2.33
insertion;0.0001;10000;225;184;1.84;2.25
insertion;0.0001;10000;249;148;1.48;2.49
insertion;0.0001;10000;215;196;1.96;2.15
insertion;0.0001;10000;246;178;1.78;2.46
insertion;0.0001;10000;223;184;1.84;2.23
insertion;0.0001;10000;252;171;1.71;2.52
insertion;0.0001;10000;207;181;1.81;2.07
insertion;0.0001;10000;280;185;1.85;2.8
insertion;0.0001;10000;224;181;1.81;2.24
insertion;0.0001;10000;227;190;1.9;2.27
insertion;0.0001;10000;257;185;1.85;2.57
insertion;0.0001;10000;292;151;1.51;2.92
insertion;0.0001;10000;276;174;1.74;2.76
insertion;0.0001;10000;268;169;1.69;2.68
insertion;0.0001;10000;211;178;1.78;2.11
insertion;0.0001;10000;238;160;1.6;2.38
insertion;0.0001;10000;337;155;1.55;3.37
insertion;0.0001;10000;238;171;1.71;2.38
insertion;0.0001;10000;194;175;1.75;1.94
insertion;0.0001;10000;244;161;1.61;2.44
insertion;0.0001;10000;234;176;1.76;2.34
