algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray;k_unordered_sequence;percentual_k_unordered;percentual_maior_array
bubble;0.01;10000;427;352;3.52;4.27
bubble;0.01;10000;518;339;3.39;5.18
bubble;0.01;10000;708;335;3.35;7.08
bubble;0.01;10000;552;370;3.7;5.52
bubble;0.01;10000;503;374;3.74;5.03
bubble;0.01;10000;515;346;3.46;5.15
bubble;0.01;10000;491;355;3.55;4.91
bubble;0.01;10000;520;356;3.56;5.2
bubble;0.01;10000;702;323;3.23;7.02
bubble;0.01;10000;409;356;3.56;4.09
bubble;0.01;10000;446;347;3.47;4.46
bubble;0.01;10000;670;351;3.51;6.7
bubble;0.01;10000;452;345;3.45;4.52
bubble;0.01;10000;596;343;3.43;5.96
bubble;0.01;10000;607;337;3.37;6.07
bubble;0.01;10000;416;338;3.38;4.16
bubble;0.01;10000;377;360;3.6;3.77
bubble;0.01;10000;659;360;3.6;6.59
bubble;0.01;10000;437;354;3.54;4.37
bubble;0.01;10000;864;355;3.55;8.64
bubble;0.01;10000;482;325;3.25;4.82
bubble;0.01;10000;431;352;3.52;4.31
bubble;0.01;10000;294;357;3.57;2.94
bubble;0.01;10000;457;356;3.56;4.57
bubble;0.01;10000;361;354;3.54;3.61
bubble;0.01;10000;1157;350;3.5;11.57
bubble;0.01;10000;462;349;3.49;4.62
bubble;0.01;10000;370;350;3.5;3.7
bubble;0.01;10000;572;348;3.48;5.72
bubble;0.01;10000;1355;367;3.67;13.55
bubble;0.01;10000;476;323;3.23;4.76
bubble;0.01;10000;398;343;3.43;3.98
bubble;0.01;10000;622;354;3.54;6.22
bubble;0.01;10000;524;342;3.42;5.24
bubble;0.01;10000;457;334;3.34;4.57
bubble;0.01;10000;914;363;3.63;9.14
bubble;0.01;10000;586;345;3.45;5.86
bubble;0.01;10000;441;351;3.51;4.41
bubble;0.01;10000;464;346;3.46;4.64
bubble;0.01;10000;431;345;3.45;4.31
bubble;0.01;10000;420;340;3.4;4.2
bubble;0.01;10000;561;355;3.55;5.61
bubble;0.01;10000;485;361;3.61;4.85
bubble;0.01;10000;591;355;3.55;5.91
bubble;0.01;10000;579;342;3.42;5.79
bubble;0.01;10000;478;358;3.58;4.78
bubble;0.01;10000;535;354;3.54;5.35
bubble;0.01;10000;408;352;3.52;4.08
bubble;0.01;10000;457;356;3.56;4.57
bubble;0.01;10000;541;335;3.35;5.41
bubble;0.01;10000;812;342;3.42;8.12
bubble;0.01;10000;1074;361;3.61;10.74
bubble;0.01;10000;501;348;3.48;5.01
bubble;0.01;10000;518;357;3.57;5.18
bubble;0.01;10000;569;333;3.33;5.69
bubble;0.01;10000;323;341;3.41;3.23
bubble;0.01;10000;558;333;3.33;5.58
bubble;0.01;10000;632;351;3.51;6.32
bubble;0.01;10000;708;335;3.35;7.08
bubble;0.01;10000;539;342;3.42;5.39
bubble;0.01;10000;715;336;3.36;7.15
bubble;0.01;10000;752;375;3.75;7.52
bubble;0.01;10000;735;354;3.54;7.35
bubble;0.01;10000;504;345;3.45;5.04
bubble;0.01;10000;528;356;3.56;5.28
bubble;0.01;10000;627;347;3.47;6.27
bubble;0.01;10000;410;355;3.55;4.1
bubble;0.01;10000;571;328;3.28;5.71
bubble;0.01;10000;498;359;3.59;4.98
bubble;0.01;10000;617;344;3.44;6.17
bubble;0.01;10000;681;344;3.44;6.81
bubble;0.01;10000;673;336;3.36;6.73
bubble;0.01;10000;432;367;3.67;4.32
bubble;0.01;10000;849;321;3.21;8.49
bubble;0.01;10000;652;357;3.57;6.52
bubble;0.01;10000;702;348;3.48;7.02
bubble;0.01;10000;305;342;3.42;3.05
bubble;0.01;10000;801;337;3.37;8.01
bubble;0.01;10000;701;338;3.38;7.01
bubble;0.01;10000;700;336;3.36;7.0
bubble;0.01;10000;372;361;3.61;3.72
bubble;0.01;10000;479;346;3.46;4.79
bubble;0.01;10000;669;313;3.13;6.69
bubble;0.01;10000;464;337;3.37;4.64
bubble;0.01;10000;609;342;3.42;6.09
bubble;0.01;10000;463;332;3.32;4.63
bubble;0.01;10000;374;377;3.77;3.74
bubble;0.01;10000;743;337;3.37;7.43
bubble;0.01;10000;667;355;3.55;6.67
bubble;0.01;10000;687;344;3.44;6.87
bubble;0.01;10000;645;353;3.53;6.45
bubble;0.01;10000;968;352;3.52;9.68
bubble;0.01;10000;498;340;3.4;4.98
bubble;0.01;10000;380;363;3.63;3.8
bubble;0.01;10000;513;349;3.49;5.13
bubble;0.01;10000;453;363;3.63;4.53
bubble;0.01;10000;358;362;3.62;3.58
bubble;0.01;10000;426;356;3.56;4.26
bubble;0.01;10000;540;352;3.52;5.4
bubble;0.01;10000;684;354;3.54;6.84
bubble;0.01;10000;618;336;3.36;6.18
bubble;0.01;10000;726;344;3.44;7.26
bubble;0.01;10000;446;343;3.43;4.46
bubble;0.01;10000;540;312;3.12;5.4
bubble;0.01;10000;417;350;3.5;4.17
bubble;0.01;10000;579;357;3.57;5.79
bubble;0.01;10000;698;319;3.19;6.98
bubble;0.01;10000;809;336;3.36;8.09
bubble;0.01;10000;587;344;3.44;5.87
bubble;0.01;10000;640;318;3.18;6.4
bubble;0.01;10000;588;356;3.56;5.88
bubble;0.01;10000;387;351;3.51;3.87
bubble;0.01;10000;541;348;3.48;5.41
bubble;0.01;10000;354;343;3.43;3.54
bubble;0.01;10000;910;380;3.8;9.1
bubble;0.01;10000;666;372;3.72;6.66
bubble;0.01;10000;627;354;3.54;6.27
bubble;0.01;10000;313;357;3.57;3.13
bubble;0.01;10000;800;354;3.54;8.0
bubble;0.01;10000;501;333;3.33;5.01
bubble;0.01;10000;989;339;3.39;9.89
bubble;0.01;10000;514;383;3.83;5.14
bubble;0.01;10000;624;352;3.52;6.24
bubble;0.01;10000;640;336;3.36;6.4
bubble;0.01;10000;633;354;3.54;6.33
bubble;0.01;10000;424;324;3.24;4.24
bubble;0.01;10000;467;359;3.59;4.67
bubble;0.01;10000;795;358;3.58;7.95
bubble;0.01;10000;714;353;3.53;7.14
bubble;0.01;10000;922;319;3.19;9.22
bubble;0.01;10000;555;356;3.56;5.55
bubble;0.01;10000;468;347;3.47;4.68
bubble;0.01;10000;674;353;3.53;6.74
bubble;0.01;10000;723;344;3.44;7.23
bubble;0.01;10000;766;357;3.57;7.66
bubble;0.01;10000;611;384;3.84;6.11
bubble;0.01;10000;622;368;3.68;6.22
bubble;0.01;10000;468;327;3.27;4.68
bubble;0.01;10000;421;337;3.37;4.21
bubble;0.01;10000;541;332;3.32;5.41
bubble;0.01;10000;463;331;3.31;4.63
bubble;0.01;10000;535;344;3.44;5.35
bubble;0.01;10000;362;385;3.85;3.62
bubble;0.01;10000;752;338;3.38;7.52
bubble;0.01;10000;2020;313;3.13;20.2
bubble;0.01;10000;651;344;3.44;6.51
bubble;0.01;10000;505;334;3.34;5.05
bubble;0.01;10000;476;339;3.39;4.76
bubble;0.01;10000;503;352;3.52;5.03
bubble;0.01;10000;593;348;3.48;5.93
bubble;0.01;10000;1002;335;3.35;10.02
bubble;0.01;10000;550;361;3.61;5.5
bubble;0.01;10000;831;352;3.52;8.31
bubble;0.01;10000;626;342;3.42;6.26
bubble;0.01;10000;679;336;3.36;6.79
bubble;0.01;10000;563;320;3.2;5.63
bubble;0.01;10000;1026;337;3.37;10.26
bubble;0.01;10000;442;345;3.45;4.42
bubble;0.01;10000;732;349;3.49;7.32
bubble;0.01;10000;424;379;3.79;4.24
bubble;0.01;10000;565;362;3.62;5.65
bubble;0.01;10000;517;343;3.43;5.17
bubble;0.01;10000;561;361;3.61;5.61
bubble;0.01;10000;499;354;3.54;4.99
bubble;0.01;10000;413;366;3.66;4.13
