algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray;k_unordered_sequence;percentual_k_unordered;percentual_maior_array
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;18;241;24.1;1.8
merge;0.05;1000;22;244;24.4;2.2
merge;0.05;1000;15;239;23.9;1.5
merge;0.05;1000;22;244;24.4;2.2
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;16;248;24.8;1.6
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;16;248;24.8;1.6
merge;0.05;1000;22;244;24.4;2.2
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;22;244;24.4;2.2
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;22;244;24.4;2.2
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;22;244;24.4;2.2
merge;0.05;1000;16;248;24.8;1.6
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;16;248;24.8;1.6
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;19;239;23.9;1.9
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;22;244;24.4;2.2
merge;0.05;1000;15;239;23.9;1.5
merge;0.05;1000;22;244;24.4;2.2
merge;0.05;1000;18;241;24.1;1.8
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;20;248;24.8;2.0
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;20;248;24.8;2.0
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;22;244;24.4;2.2
merge;0.05;1000;15;239;23.9;1.5
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;15;239;23.9;1.5
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;16;248;24.8;1.6
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;22;244;24.4;2.2
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;22;244;24.4;2.2
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;16;248;24.8;1.6
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;15;239;23.9;1.5
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;15;239;23.9;1.5
merge;0.05;1000;22;244;24.4;2.2
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;20;248;24.8;2.0
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;19;232;23.2;1.9
merge;0.05;1000;20;248;24.8;2.0
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;15;261;26.1;1.5
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;15;239;23.9;1.5
merge;0.05;1000;15;239;23.9;1.5
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;15;239;23.9;1.5
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;16;248;24.8;1.6
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;22;244;24.4;2.2
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;14;240;24.0;1.4
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;17;248;24.8;1.7
merge;0.05;1000;17;232;23.2;1.7
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;18;251;25.1;1.8
merge;0.05;1000;17;252;25.2;1.7
merge;0.05;1000;18;245;24.5;1.8
merge;0.05;1000;14;240;24.0;1.4
