coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
k_unordered_sequence;0.99;0.01;100;bubble;2.3316;3.0667;3.8018;0.2992;0.7351;1.6386
k_unordered_sequence;0.99;0.01;100;merge;3.0037;3.5000;3.9963;0.2020;0.4963;1.1064
k_unordered_sequence;0.99;0.01;100;quick;4.0969;4.8333;5.5697;0.2997;0.7364;1.6418
k_unordered_sequence;0.99;0.01;100;insertion;10.1527;10.8667;11.5807;0.2906;0.7140;1.5916
k_unordered_sequence;0.99;0.01;1000;bubble;37.3276;39.2667;41.2058;0.7892;1.9391;4.3226
k_unordered_sequence;0.99;0.01;1000;merge;73.1834;74.6333;76.0832;0.5901;1.4499;3.2322
k_unordered_sequence;0.99;0.01;1000;quick;64.8898;66.9333;68.9768;0.8317;2.0435;4.5557
k_unordered_sequence;0.99;0.01;1000;insertion;136.1785;139.9333;143.6881;1.5282;3.7548;8.3704
k_unordered_sequence;0.99;0.01;10000;bubble;356.6596;366.0333;375.4070;3.8151;9.3737;20.8963
k_unordered_sequence;0.99;0.01;10000;merge;993.1387;999.9667;1006.7947;2.7790;6.8280;15.2213
k_unordered_sequence;0.99;0.01;10000;quick;658.0308;664.4667;670.9026;2.6194;6.4359;14.3473
k_unordered_sequence;0.99;0.01;10000;insertion;1437.4799;1449.9000;1462.3201;5.0550;12.4201;27.6871
k_unordered_sequence;0.99;0.02;100;bubble;3.9867;5.0000;6.0133;0.4124;1.0133;2.2591
k_unordered_sequence;0.99;0.02;100;merge;10.6193;11.4667;12.3141;0.3449;0.8474;1.8889
k_unordered_sequence;0.99;0.02;100;quick;10.4097;11.2667;12.1237;0.3488;0.8570;1.9106
k_unordered_sequence;0.99;0.02;100;insertion;11.9335;12.8667;13.7999;0.3798;0.9332;2.0800
k_unordered_sequence;0.99;0.02;1000;bubble;60.0396;62.3000;64.5604;0.9200;2.2604;5.0388
k_unordered_sequence;0.99;0.02;1000;merge;128.0935;131.3333;134.5731;1.3186;3.2398;7.2223
k_unordered_sequence;0.99;0.02;1000;quick;105.8306;108.3333;110.8360;1.0186;2.5027;5.5791
k_unordered_sequence;0.99;0.02;1000;insertion;180.5397;183.5333;186.5269;1.2184;2.9936;6.6733
k_unordered_sequence;0.99;0.02;10000;bubble;603.1082;612.0667;621.0252;3.6461;8.9585;19.9706
k_unordered_sequence;0.99;0.02;10000;merge;1704.5603;1710.5333;1716.5063;2.4310;5.9730;13.3151
k_unordered_sequence;0.99;0.02;10000;quick;1070.7473;1081.1333;1091.5193;4.2271;10.3860;23.1528
k_unordered_sequence;0.99;0.02;10000;insertion;1867.4839;1882.4667;1897.4495;6.0980;14.9828;33.4001
k_unordered_sequence;0.99;0.05;100;bubble;12.0932;12.7667;13.4402;0.2741;0.6735;1.5013
k_unordered_sequence;0.99;0.05;100;merge;18.5091;19.2000;19.8909;0.2812;0.6909;1.5403
k_unordered_sequence;0.99;0.05;100;quick;13.0725;13.9000;14.7275;0.3368;0.8275;1.8448
k_unordered_sequence;0.99;0.05;100;insertion;22.5896;23.6333;24.6770;0.4248;1.0437;2.3265
k_unordered_sequence;0.99;0.05;1000;bubble;116.1499;121.0000;125.8501;1.9740;4.8501;10.8119
k_unordered_sequence;0.99;0.05;1000;merge;243.9918;248.7333;253.4748;1.9298;4.7415;10.5697
k_unordered_sequence;0.99;0.05;1000;quick;184.2545;188.5000;192.7455;1.7279;4.2455;9.4641
k_unordered_sequence;0.99;0.05;1000;insertion;256.4164;260.7333;265.0502;1.7570;4.3169;9.6237
k_unordered_sequence;0.99;0.05;10000;bubble;1146.7777;1160.8000;1174.8223;5.7071;14.0223;31.2591
k_unordered_sequence;0.99;0.05;10000;merge;2818.3533;2832.4000;2846.4467;5.7170;14.0467;31.3133
k_unordered_sequence;0.99;0.05;10000;quick;1944.3972;1956.1333;1967.8694;4.7766;11.7361;26.1623
k_unordered_sequence;0.99;0.05;10000;insertion;2549.8316;2562.0667;2574.3018;4.9797;12.2351;27.2750
k_unordered_sequence;0.98;0.01;100;bubble;2.4243;3.0667;3.7091;0.2992;0.6424;1.6386
k_unordered_sequence;0.98;0.01;100;merge;3.0663;3.5000;3.9337;0.2020;0.4337;1.1064
k_unordered_sequence;0.98;0.01;100;quick;4.1898;4.8333;5.4768;0.2997;0.6435;1.6418
k_unordered_sequence;0.98;0.01;100;insertion;10.2428;10.8667;11.4906;0.2906;0.6239;1.5916
k_unordered_sequence;0.98;0.01;1000;bubble;37.5723;39.2667;40.9611;0.7892;1.6944;4.3226
k_unordered_sequence;0.98;0.01;1000;merge;73.3664;74.6333;75.9002;0.5901;1.2669;3.2322
k_unordered_sequence;0.98;0.01;1000;quick;65.1476;66.9333;68.7190;0.8317;1.7857;4.5557
k_unordered_sequence;0.98;0.01;1000;insertion;136.6523;139.9333;143.2143;1.5282;3.2810;8.3704
k_unordered_sequence;0.98;0.01;10000;bubble;357.8423;366.0333;374.2243;3.8151;8.1910;20.8963
k_unordered_sequence;0.98;0.01;10000;merge;994.0002;999.9667;1005.9332;2.7790;5.9665;15.2213
k_unordered_sequence;0.98;0.01;10000;quick;658.8428;664.4667;670.0906;2.6194;5.6239;14.3473
k_unordered_sequence;0.98;0.01;10000;insertion;1439.0469;1449.9000;1460.7531;5.0550;10.8531;27.6871
k_unordered_sequence;0.98;0.02;100;bubble;4.1146;5.0000;5.8854;0.4124;0.8854;2.2591
k_unordered_sequence;0.98;0.02;100;merge;10.7262;11.4667;12.2072;0.3449;0.7405;1.8889
k_unordered_sequence;0.98;0.02;100;quick;10.5178;11.2667;12.0156;0.3488;0.7489;1.9106
k_unordered_sequence;0.98;0.02;100;insertion;12.0513;12.8667;13.6821;0.3798;0.8154;2.0800
k_unordered_sequence;0.98;0.02;1000;bubble;60.3248;62.3000;64.2752;0.9200;1.9752;5.0388
k_unordered_sequence;0.98;0.02;1000;merge;128.5023;131.3333;134.1643;1.3186;2.8310;7.2223
k_unordered_sequence;0.98;0.02;1000;quick;106.1464;108.3333;110.5202;1.0186;2.1869;5.5791
k_unordered_sequence;0.98;0.02;1000;insertion;180.9174;183.5333;186.1492;1.2184;2.6159;6.6733
k_unordered_sequence;0.98;0.02;10000;bubble;604.2385;612.0667;619.8949;3.6461;7.8282;19.9706
k_unordered_sequence;0.98;0.02;10000;merge;1705.3139;1710.5333;1715.7527;2.4310;5.2194;13.3151
k_unordered_sequence;0.98;0.02;10000;quick;1072.0577;1081.1333;1090.2089;4.2271;9.0756;23.1528
k_unordered_sequence;0.98;0.02;10000;insertion;1869.3743;1882.4667;1895.5591;6.0980;13.0924;33.4001
k_unordered_sequence;0.98;0.05;100;bubble;12.1782;12.7667;13.3552;0.2741;0.5885;1.5013
k_unordered_sequence;0.98;0.05;100;merge;18.5963;19.2000;19.8037;0.2812;0.6037;1.5403
