coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
largest_sorted_subarray;0.99;0.01;100;bubble;60.2939;67.4000;74.5061;2.8922;7.1061;15.8410
largest_sorted_subarray;0.99;0.01;100;merge;47.5385;54.4667;61.3949;2.8198;6.9282;15.4445
largest_sorted_subarray;0.99;0.01;100;quick;32.6571;39.0333;45.4095;2.5951;6.3762;14.2138
largest_sorted_subarray;0.99;0.01;100;insertion;18.3694;19.7667;21.1640;0.5687;1.3973;3.1149
largest_sorted_subarray;0.99;0.01;1000;bubble;250.4077;295.7000;340.9923;18.4340;45.2923;100.9674
largest_sorted_subarray;0.99;0.01;1000;merge;58.0461;63.3333;68.6205;2.1519;5.2872;11.7864
largest_sorted_subarray;0.99;0.01;1000;quick;54.2151;58.0333;61.8515;1.5540;3.8182;8.5116
largest_sorted_subarray;0.99;0.01;1000;insertion;25.5203;27.7333;29.9463;0.9007;2.2130;4.9336
largest_sorted_subarray;0.99;0.01;10000;bubble;519.7579;591.2333;662.7087;29.0905;71.4754;159.3350
largest_sorted_subarray;0.99;0.01;10000;merge;66.3213;74.1667;82.0121;3.1931;7.8454;17.4891
largest_sorted_subarray;0.99;0.01;10000;quick;83.2178;90.0667;96.9156;2.7875;6.8489;15.2676
largest_sorted_subarray;0.99;0.01;10000;insertion;33.6144;35.5667;37.5190;0.7946;1.9523;4.3524
largest_sorted_subarray;0.99;0.02;100;bubble;42.1173;49.5667;57.0161;3.0319;7.4494;16.6064
largest_sorted_subarray;0.99;0.02;100;merge;21.5178;24.8333;28.1488;1.3494;3.3155;7.3910
largest_sorted_subarray;0.99;0.02;100;quick;18.7613;20.6333;22.5053;0.7619;1.8720;4.1728
largest_sorted_subarray;0.99;0.02;100;insertion;15.8600;18.0000;20.1400;0.8710;2.1400;4.7706
largest_sorted_subarray;0.99;0.02;1000;bubble;128.4463;146.5667;164.6871;7.3750;18.1204;40.3943
largest_sorted_subarray;0.99;0.02;1000;merge;35.6851;39.1333;42.5815;1.4034;3.4482;7.6867
largest_sorted_subarray;0.99;0.02;1000;quick;38.9082;42.1667;45.4252;1.3262;3.2585;7.2639
largest_sorted_subarray;0.99;0.02;1000;insertion;19.8842;21.3333;22.7824;0.5898;1.4491;3.2306
largest_sorted_subarray;0.99;0.02;10000;bubble;285.9281;340.2000;394.4719;22.0887;54.2719;120.9846
largest_sorted_subarray;0.99;0.02;10000;merge;36.1584;39.3333;42.5082;1.2922;3.1749;7.0776
largest_sorted_subarray;0.99;0.02;10000;quick;51.5932;54.7667;57.9402;1.2916;3.1735;7.0744
largest_sorted_subarray;0.99;0.02;10000;insertion;25.0485;26.2667;27.4849;0.4958;1.2182;2.7156
largest_sorted_subarray;0.99;0.05;100;bubble;23.8390;26.3333;28.8276;1.0152;2.4943;5.5605
largest_sorted_subarray;0.99;0.05;100;merge;12.2957;13.2667;14.2377;0.3952;0.9710;2.1645
largest_sorted_subarray;0.99;0.05;100;quick;16.1491;17.8000;19.4509;0.6719;1.6509;3.6803
largest_sorted_subarray;0.99;0.05;100;insertion;9.6119;10.5667;11.5215;0.3886;0.9548;2.1284
largest_sorted_subarray;0.99;0.05;1000;bubble;68.9261;77.7000;86.4739;3.5710;8.7739;19.5592
largest_sorted_subarray;0.99;0.05;1000;merge;15.5188;16.4667;17.4146;0.3858;0.9479;2.1129
largest_sorted_subarray;0.99;0.05;1000;quick;20.2908;21.7333;23.1758;0.5871;1.4425;3.2156
largest_sorted_subarray;0.99;0.05;1000;insertion;12.5394;13.2333;13.9272;0.2824;0.6939;1.5466
largest_sorted_subarray;0.99;0.05;10000;bubble;145.5439;161.8333;178.1227;6.6298;16.2894;36.3129
largest_sorted_subarray;0.99;0.05;10000;merge;17.8614;19.4000;20.9386;0.6262;1.5386;3.4301
largest_sorted_subarray;0.99;0.05;10000;quick;28.2620;29.6333;31.0046;0.5581;1.3713;3.0567
largest_sorted_subarray;0.99;0.05;10000;insertion;17.3989;18.3667;19.3345;0.3939;0.9678;2.1573
largest_sorted_subarray;0.98;0.01;100;bubble;61.1904;67.4000;73.6096;2.8922;6.2096;15.8410
largest_sorted_subarray;0.98;0.01;100;merge;48.4126;54.4667;60.5208;2.8198;6.0541;15.4445
largest_sorted_subarray;0.98;0.01;100;quick;33.4616;39.0333;44.6050;2.5951;5.5717;14.2138
largest_sorted_subarray;0.98;0.01;100;insertion;18.5457;19.7667;20.9877;0.5687;1.2210;3.1149
