coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
percentual_k_unordered;0.99;0.01;100;bubble;2.3316;3.0667;3.8018;0.2992;0.7351;1.6386
percentual_k_unordered;0.99;0.01;100;merge;3.0037;3.5000;3.9963;0.2020;0.4963;1.1064
percentual_k_unordered;0.99;0.01;100;quick;4.0969;4.8333;5.5697;0.2997;0.7364;1.6418
percentual_k_unordered;0.99;0.01;100;insertion;10.1527;10.8667;11.5807;0.2906;0.7140;1.5916
percentual_k_unordered;0.99;0.01;1000;bubble;3.7328;3.9267;4.1206;0.0789;0.1939;0.4323
percentual_k_unordered;0.99;0.01;1000;merge;7.3183;7.4633;7.6083;0.0590;0.1450;0.3232
percentual_k_unordered;0.99;0.01;1000;quick;6.4889;6.6933;6.8977;0.0832;0.2044;0.4556
percentual_k_unordered;0.99;0.01;1000;insertion;13.6179;13.9933;14.3687;0.1528;0.3754;0.8370
percentual_k_unordered;0.99;0.01;10000;bubble;3.5664;3.6603;3.7542;0.0382;0.0939;0.2090
percentual_k_unordered;0.99;0.01;10000;merge;9.9314;9.9997;10.0680;0.0278;0.0683;0.1522
percentual_k_unordered;0.99;0.01;10000;quick;6.5803;6.6447;6.7091;0.0262;0.0644;0.1435
percentual_k_unordered;0.99;0.01;10000;insertion;14.3749;14.4990;14.6231;0.0505;0.1241;0.2769
percentual_k_unordered;0.99;0.02;100;bubble;3.9867;5.0000;6.0133;0.4124;1.0133;2.2591
percentual_k_unordered;0.99;0.02;100;merge;10.6193;11.4667;12.3141;0.3449;0.8474;1.8889
percentual_k_unordered;0.99;0.02;100;quick;10.4097;11.2667;12.1237;0.3488;0.8570;1.9106
percentual_k_unordered;0.99;0.02;100;insertion;11.9335;12.8667;13.7999;0.3798;0.9332;2.0800
percentual_k_unordered;0.99;0.02;1000;bubble;6.0040;6.2300;6.4560;0.0920;0.2260;0.5039
percentual_k_unordered;0.99;0.02;1000;merge;12.8092;13.1333;13.4574;0.1319;0.3241;0.7222
percentual_k_unordered;0.99;0.02;1000;quick;10.5829;10.8333;11.0837;0.1019;0.2504;0.5579
percentual_k_unordered;0.99;0.02;1000;insertion;18.0540;18.3533;18.6526;0.1218;0.2993;0.6673
percentual_k_unordered;0.99;0.02;10000;bubble;6.0310;6.1207;6.2104;0.0365;0.0897;0.1997
percentual_k_unordered;0.99;0.02;10000;merge;17.0456;17.1053;17.1650;0.0243;0.0597;0.1332
percentual_k_unordered;0.99;0.02;10000;quick;10.7074;10.8113;10.9152;0.0423;0.1039;0.2315
percentual_k_unordered;0.99;0.02;10000;insertion;18.6748;18.8247;18.9746;0.0610;0.1499;0.3340
percentual_k_unordered;0.99;0.05;100;bubble;12.0932;12.7667;13.4402;0.2741;0.6735;1.5013
percentual_k_unordered;0.99;0.05;100;merge;18.5091;19.2000;19.8909;0.2812;0.6909;1.5403
percentual_k_unordered;0.99;0.05;100;quick;13.0725;13.9000;14.7275;0.3368;0.8275;1.8448
percentual_k_unordered;0.99;0.05;100;insertion;22.5896;23.6333;24.6770;0.4248;1.0437;2.3265
