coluna;coef_confianca;probabilidade_err;tamanho_array;algoritmo;lim_inferior;media;lim_superior;std_error;h;std_dev
percentual_maior_array;0.99;0.01;100;bubble;60.2939;67.4000;74.5061;2.8922;7.1061;15.8410
percentual_maior_array;0.99;0.01;100;merge;47.5385;54.4667;61.3949;2.8198;6.9282;15.4445
percentual_maior_array;0.99;0.01;100;quick;32.6571;39.0333;45.4095;2.5951;6.3762;14.2138
percentual_maior_array;0.99;0.01;100;insertion;18.3694;19.7667;21.1640;0.5687;1.3973;3.1149
percentual_maior_array;0.99;0.01;1000;bubble;25.0408;29.5700;34.0992;1.8434;4.5292;10.0967
percentual_maior_array;0.99;0.01;1000;merge;5.8046;6.3333;6.8620;0.2152;0.5287;1.1786
percentual_maior_array;0.99;0.01;1000;quick;5.4215;5.8033;6.1851;0.1554;0.3818;0.8512
percentual_maior_array;0.99;0.01;1000;insertion;2.5519;2.7733;2.9947;0.0901;0.2214;0.4934
percentual_maior_array;0.99;0.01;10000;bubble;5.1976;5.9123;6.6270;0.2909;0.7147;1.5933
percentual_maior_array;0.99;0.01;10000;merge;0.6633;0.7417;0.8201;0.0319;0.0784;0.1749
percentual_maior_array;0.99;0.01;10000;quick;0.8321;0.9007;0.9693;0.0279;0.0686;0.1527
percentual_maior_array;0.99;0.01;10000;insertion;0.3363;0.3557;0.3751;0.0079;0.0194;0.0435
percentual_maior_array;0.99;0.02;100;bubble;42.1173;49.5667;57.0161;3.0319;7.4494;16.6064
percentual_maior_array;0.99;0.02;100;merge;21.5178;24.8333;28.1488;1.3494;3.3155;7.3910
percentual_maior_array;0.99;0.02;100;quick;18.7613;20.6333;22.5053;0.7619;1.8720;4.1728
percentual_maior_array;0.99;0.02;100;insertion;15.8600;18.0000;20.1400;0.8710;2.1400;4.7706
percentual_maior_array;0.99;0.02;1000;bubble;12.8447;14.6567;16.4687;0.7375;1.8120;4.0394
percentual_maior_array;0.99;0.02;1000;merge;3.5686;3.9133;4.2580;0.1403;0.3447;0.7687
percentual_maior_array;0.99;0.02;1000;quick;3.8909;4.2167;4.5425;0.1326;0.3258;0.7264
percentual_maior_array;0.99;0.02;1000;insertion;1.9883;2.1333;2.2783;0.0590;0.1450;0.3231
percentual_maior_array;0.99;0.02;10000;bubble;2.8592;3.4020;3.9448;0.2209;0.5428;1.2098
percentual_maior_array;0.99;0.02;10000;merge;0.3616;0.3933;0.4250;0.0129;0.0317;0.0708
percentual_maior_array;0.99;0.02;10000;quick;0.5160;0.5477;0.5794;0.0129;0.0317;0.0707
percentual_maior_array;0.99;0.02;10000;insertion;0.2504;0.2627;0.2750;0.0050;0.0123;0.0272
percentual_maior_array;0.99;0.05;100;bubble;23.8390;26.3333;28.8276;1.0152;2.4943;5.5605
percentual_maior_array;0.99;0.05;100;merge;12.2957;13.2667;14.2377;0.3952;0.9710;2.1645
percentual_maior_array;0.99;0.05;100;quick;16.1491;17.8000;19.4509;0.6719;1.6509;3.6803
percentual_maior_array;0.99;0.05;100;insertion;9.6119;10.5667;11.5215;0.3886;0.9548;2.1284
percentual_maior_array;0.99;0.05;1000;bubble;6.8926;7.7700;8.6474;0.3571;0.8774;1.9559
percentual_maior_array;0.99;0.05;1000;merge;1.5519;1.6467;1.7415;0.0386;0.0948;0.2113
percentual_maior_array;0.99;0.05;1000;quick;2.0291;2.1733;2.3175;0.0587;0.1442;0.3216
percentual_maior_array;0.99;0.05;1000;insertion;1.2540;1.3233;1.3926;0.0282;0.0693;0.1547
percentual_maior_array;0.99;0.05;10000;bubble;1.4554;1.6183;1.7812;0.0663;0.1629;0.3631
percentual_maior_array;0.99;0.05;10000;merge;0.1785;0.1940;0.2095;0.0063;0.0155;0.0343
percentual_maior_array;0.99;0.05;10000;quick;0.2825;0.2963;0.3101;0.0056;0.0138;0.0306
percentual_maior_array;0.99;0.05;10000;insertion;0.1741;0.1837;0.1933;0.0039;0.0096;0.0216
percentual_maior_array;0.98;0.01;100;bubble;61.1904;67.4000;73.6096;2.8922;6.2096;15.8410
percentual_maior_array;0.98;0.01;100;merge;48.4126;54.4667;60.5208;2.8198;6.0541;15.4445
