bubble,insertion,merge,quick
362,1480,1005,686
383,1479,1013,655
352,1500,1000,677
351,1443,1001,674
398,1445,1021,651
379,1482,988,639
381,1392,982,659
366,1485,1013,689
352,1400,985,667
383,1404,1018,654
387,1419,1010,642
388,1429,983,674
399,1443,983,644
324,1410,983,689
359,1463,1028,670
322,1441,1006,657
379,1465,974,658
364,1458,1032,661
379,1471,1004,660
350,1464,998,659
359,1443,993,671
390,1484,995,647
390,1432,993,657
384,1440,1024,669
348,1428,1006,680
369,1437,985,684
347,1460,1007,675
353,1455,987,650
348,1477,996,654
335,1468,986,682
