bubble,insertion,merge,quick
8.08,0.3,0.67,0.67
4.22,0.35,0.75,1.08
6.62,0.41,0.82,0.73
4.45,0.29,0.51,0.89
5.92,0.33,0.64,0.76
5.82,0.32,0.98,0.84
4.86,0.36,0.81,0.81
4.67,0.42,0.5,0.91
4.68,0.38,0.62,1.02
5.09,0.42,1.02,1.01
5.82,0.34,0.59,0.89
4.48,0.31,0.86,0.8
4.88,0.33,0.68,0.93
6.74,0.3,0.81,1.09
6.5,0.32,0.85,0.81
7.2,0.39,1.14,1.05
4.52,0.35,0.73,0.82
2.96,0.36,0.69,0.94
5.13,0.34,0.53,0.84
10.23,0.41,0.81,0.91
6.93,0.47,0.95,0.78
4.68,0.38,0.58,0.9
8.07,0.36,0.72,0.88
7.19,0.38,0.59,1.02
6.28,0.31,1.14,0.95
6.43,0.31,0.58,1.46
8.81,0.4,0.69,0.93
5.06,0.33,0.58,0.69
6.97,0.33,0.81,0.86
4.08,0.37,0.6,0.75
