bubble,insertion,merge,quick
6.05,18.74,17.17,10.65
6.47,18.66,17.11,10.94
6.25,18.77,16.92,10.41
5.75,18.69,16.88,10.68
6.24,19.43,16.94,11.01
6.03,18.6,16.99,10.92
6.03,19.37,17.14,10.92
6.23,19.28,17.09,11.06
6.26,18.92,17.16,10.92
6.08,19.52,17.4,10.99
5.98,18.69,16.98,10.48
5.97,18.47,17.24,10.23
6.32,18.32,17.22,10.6
6.38,18.76,17.18,10.83
6.06,18.81,16.88,10.4
5.98,18.63,17.13,10.96
6.21,18.48,17.22,10.59
5.84,18.55,17.18,10.8
6.0,19.01,17.06,10.95
6.18,18.31,17.12,11.13
6.11,18.53,16.91,10.82
6.43,19.08,17.28,10.83
6.0,18.17,17.36,10.59
5.77,19.11,17.03,11.0
6.12,18.82,17.09,10.9
5.82,18.96,17.08,11.14
6.29,19.08,16.99,10.79
6.23,19.0,17.22,10.76
6.02,19.0,17.07,10.92
6.52,18.98,17.12,11.12
