bubble,insertion,merge,quick
0.06,1.74,0.13,0.18
0.06,1.88,0.12,0.18
0.05,1.65,0.14,0.14
0.09,1.73,0.15,0.16
0.08,1.78,0.11,0.14
0.05,1.96,0.15,0.13
0.12,1.85,0.1,0.15
0.09,1.84,0.11,0.18
0.07,1.81,0.1,0.15
0.05,1.73,0.1,0.12
0.11,1.76,0.11,0.15
0.07,1.76,0.09,0.16
0.06,1.88,0.1,0.18
0.1,1.63,0.11,0.17
0.08,1.72,0.11,0.14
0.05,1.64,0.11,0.17
0.07,1.91,0.11,0.14
0.11,1.81,0.11,0.18
0.03,1.86,0.1,0.19
0.06,1.92,0.1,0.16
0.07,2.08,0.11,0.17
0.13,2.13,0.11,0.15
0.11,1.75,0.1,0.16
0.07,1.82,0.11,0.17
0.06,1.71,0.1,0.17
0.06,1.7,0.11,0.15
0.09,1.73,0.1,0.14
0.06,1.91,0.11,0.15
0.04,1.79,0.1,0.1
0.11,1.62,0.11,0.08
