bubble,insertion,merge,quick
6869,238,1369,1371
6869,259,1844,1251
8396,234,1736,1739
4587,246,2164,1289
7418,279,2284,1396
7264,260,1853,3086
4877,324,2917,1926
4877,203,2891,1109
6891,272,2294,1455
7120,243,1688,1530
7786,226,1889,1410
7004,314,2077,1745
6379,265,2468,1086
2265,218,1743,1768
2810,313,1796,1426
8582,251,2317,2110
4826,220,1731,2008
6806,263,2098,1553
9520,229,1883,1512
5722,296,1987,1592
5722,193,1695,1662
8397,248,1523,1741
6974,215,1977,1493
9690,251,2207,1779
3031,190,1552,2016
8257,235,1775,2708
4180,299,2087,1573
7521,204,1980,1803
5423,185,1293,3115
6885,230,2154,2649
