bubble,insertion,merge,quick
96.4,4.9,16.4,20.3
52.0,6.5,21.5,19.3
95.4,6.5,40.2,22.8
84.1,4.6,47.0,26.5
95.4,9.0,46.9,38.8
95.4,7.2,46.6,30.3
52.0,5.7,28.2,24.3
95.4,6.8,24.3,40.9
99.4,10.1,28.6,23.7
95.4,5.7,24.9,16.5
99.9,6.3,21.4,32.5
95.4,6.8,32.6,26.6
95.4,6.1,19.4,23.9
52.0,6.3,19.6,34.9
52.0,7.0,22.8,36.2
99.4,5.4,28.1,27.9
96.4,9.0,28.9,25.7
95.4,6.8,28.4,31.9
52.0,9.6,13.4,28.4
96.4,7.1,34.2,28.6
99.9,10.5,38.3,34.6
99.4,7.9,20.9,27.2
96.4,7.1,57.9,23.8
95.4,7.6,22.8,21.6
99.4,6.9,20.9,15.2
52.0,6.9,20.3,20.1
99.6,7.7,15.5,24.1
52.0,5.9,22.0,18.7
52.0,6.3,12.4,32.9
52.0,6.7,23.4,30.2
