algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray;k_unordered_sequence;percentual_k_unordered;percentual_maior_array
quick;0.01;100;35;4;4.00;35.00
quick;0.01;100;36;8;8.00;36.00
quick;0.01;100;31;5;5.00;31.00
quick;0.01;100;20;6;6.00;20.00
quick;0.01;100;31;5;5.00;31.00
quick;0.01;100;75;2;2.00;75.00
quick;0.01;100;25;8;8.00;25.00
quick;0.01;100;23;6;6.00;23.00
quick;0.01;100;30;4;4.00;30.00
quick;0.01;100;49;3;3.00;49.00
quick;0.01;100;66;4;4.00;66.00
quick;0.01;100;33;5;5.00;33.00
quick;0.01;100;34;6;6.00;34.00
quick;0.01;100;27;8;8.00;27.00
quick;0.01;100;38;5;5.00;38.00
quick;0.01;100;46;6;6.00;46.00
quick;0.01;100;33;6;6.00;33.00
quick;0.01;100;30;6;6.00;30.00
quick;0.01;100;69;2;2.00;69.00
quick;0.01;100;31;4;4.00;31.00
quick;0.01;100;24;6;6.00;24.00
quick;0.01;100;32;5;5.00;32.00
quick;0.01;100;32;6;6.00;32.00
quick;0.01;100;47;3;3.00;47.00
quick;0.01;100;33;4;4.00;33.00
quick;0.01;100;48;4;4.00;48.00
quick;0.01;100;52;3;3.00;52.00
quick;0.01;100;38;3;3.00;38.00
quick;0.01;100;38;5;5.00;38.00
quick;0.01;100;65;3;3.00;65.00
quick;0.01;1000;80;59;5.90;8.00
quick;0.01;1000;55;68;6.80;5.50
quick;0.01;1000;64;63;6.30;6.40
quick;0.01;1000;50;67;6.70;5.00
quick;0.01;1000;64;71;7.10;6.40
quick;0.01;1000;54;70;7.00;5.40
quick;0.01;1000;46;71;7.10;4.60
quick;0.01;1000;42;65;6.50;4.20
quick;0.01;1000;72;64;6.40;7.20
quick;0.01;1000;63;61;6.10;6.30
quick;0.01;1000;53;67;6.70;5.30
quick;0.01;1000;55;66;6.60;5.50
quick;0.01;1000;68;66;6.60;6.80
quick;0.01;1000;59;64;6.40;5.90
quick;0.01;1000;51;69;6.90;5.10
quick;0.01;1000;54;71;7.10;5.40
quick;0.01;1000;58;71;7.10;5.80
quick;0.01;1000;60;65;6.50;6.00
quick;0.01;1000;58;68;6.80;5.80
quick;0.01;1000;65;66;6.60;6.50
quick;0.01;1000;66;64;6.40;6.60
quick;0.01;1000;50;62;6.20;5.00
quick;0.01;1000;65;58;5.80;6.50
quick;0.01;1000;52;69;6.90;5.20
quick;0.01;1000;60;62;6.20;6.00
quick;0.01;1000;61;67;6.70;6.10
quick;0.01;1000;43;68;6.80;4.30
quick;0.01;1000;49;72;7.20;4.90
quick;0.01;1000;59;79;7.90;5.90
quick;0.01;1000;65;75;7.50;6.50
quick;0.01;10000;67;686;6.86;0.67
quick;0.01;10000;108;655;6.55;1.08
quick;0.01;10000;73;677;6.77;0.73
quick;0.01;10000;89;674;6.74;0.89
quick;0.01;10000;76;651;6.51;0.76
quick;0.01;10000;84;639;6.39;0.84
quick;0.01;10000;81;659;6.59;0.81
quick;0.01;10000;91;689;6.89;0.91
quick;0.01;10000;102;667;6.67;1.02
quick;0.01;10000;101;654;6.54;1.01
quick;0.01;10000;89;642;6.42;0.89
quick;0.01;10000;80;674;6.74;0.80
quick;0.01;10000;93;644;6.44;0.93
quick;0.01;10000;109;689;6.89;1.09
quick;0.01;10000;81;670;6.70;0.81
quick;0.01;10000;105;657;6.57;1.05
quick;0.01;10000;82;658;6.58;0.82
quick;0.01;10000;94;661;6.61;0.94
quick;0.01;10000;84;660;6.60;0.84
quick;0.01;10000;91;659;6.59;0.91
quick;0.01;10000;78;671;6.71;0.78
quick;0.01;10000;90;647;6.47;0.90
quick;0.01;10000;88;657;6.57;0.88
quick;0.01;10000;102;669;6.69;1.02
quick;0.01;10000;95;680;6.80;0.95
quick;0.01;10000;146;684;6.84;1.46
quick;0.01;10000;93;675;6.75;0.93
quick;0.01;10000;69;650;6.50;0.69
quick;0.01;10000;86;654;6.54;0.86
quick;0.01;10000;75;682;6.82;0.75
quick;0.02;100;20;11;11.00;20.00
quick;0.02;100;18;10;10.00;18.00
quick;0.02;100;21;11;11.00;21.00
quick;0.02;100;19;11;11.00;19.00
quick;0.02;100;19;10;10.00;19.00
quick;0.02;100;23;9;9.00;23.00
quick;0.02;100;15;15;15.00;15.00
quick;0.02;100;21;8;8.00;21.00
quick;0.02;100;21;11;11.00;21.00
quick;0.02;100;20;12;12.00;20.00
quick;0.02;100;20;15;15.00;20.00
quick;0.02;100;24;11;11.00;24.00
quick;0.02;100;21;11;11.00;21.00
quick;0.02;100;26;10;10.00;26.00
quick;0.02;100;24;8;8.00;24.00
quick;0.02;100;23;10;10.00;23.00
quick;0.02;100;21;13;13.00;21.00
quick;0.02;100;25;10;10.00;25.00
quick;0.02;100;17;14;14.00;17.00
quick;0.02;100;20;11;11.00;20.00
quick;0.02;100;19;13;13.00;19.00
quick;0.02;100;19;11;11.00;19.00
quick;0.02;100;19;14;14.00;19.00
quick;0.02;100;16;12;12.00;16.00
quick;0.02;100;20;9;9.00;20.00
quick;0.02;100;37;9;9.00;37.00
quick;0.02;100;17;11;11.00;17.00
quick;0.02;100;14;13;13.00;14.00
quick;0.02;100;22;14;14.00;22.00
quick;0.02;100;18;11;11.00;18.00
quick;0.02;1000;44;112;11.20;4.40
quick;0.02;1000;39;116;11.60;3.90
quick;0.02;1000;33;104;10.40;3.30
quick;0.02;1000;46;110;11.00;4.60
quick;0.02;1000;49;110;11.00;4.90
quick;0.02;1000;33;111;11.10;3.30
quick;0.02;1000;40;109;10.90;4.00
quick;0.02;1000;42;107;10.70;4.20
quick;0.02;1000;37;108;10.80;3.70
quick;0.02;1000;59;104;10.40;5.90
quick;0.02;1000;34;104;10.40;3.40
quick;0.02;1000;35;112;11.20;3.50
quick;0.02;1000;38;101;10.10;3.80
quick;0.02;1000;40;106;10.60;4.00
quick;0.02;1000;45;100;10.00;4.50
quick;0.02;1000;37;104;10.40;3.70
quick;0.02;1000;44;112;11.20;4.40
quick;0.02;1000;46;115;11.50;4.60
quick;0.02;1000;33;106;10.60;3.30
quick;0.02;1000;50;104;10.40;5.00
quick;0.02;1000;40;108;10.80;4.00
quick;0.02;1000;44;115;11.50;4.40
quick;0.02;1000;36;99;9.90;3.60
quick;0.02;1000;51;98;9.80;5.10
quick;0.02;1000;43;119;11.90;4.30
quick;0.02;1000;56;115;11.50;5.60
quick;0.02;1000;43;108;10.80;4.30
quick;0.02;1000;31;106;10.60;3.10
quick;0.02;1000;56;119;11.90;5.60
quick;0.02;1000;41;108;10.80;4.10
quick;0.02;10000;56;1065;10.65;0.56
quick;0.02;10000;53;1094;10.94;0.53
quick;0.02;10000;55;1041;10.41;0.55
quick;0.02;10000;52;1068;10.68;0.52
quick;0.02;10000;48;1101;11.01;0.48
quick;0.02;10000;56;1092;10.92;0.56
quick;0.02;10000;55;1092;10.92;0.55
quick;0.02;10000;52;1106;11.06;0.52
quick;0.02;10000;51;1092;10.92;0.51
quick;0.02;10000;65;1099;10.99;0.65
quick;0.02;10000;61;1048;10.48;0.61
quick;0.02;10000;52;1023;10.23;0.52
quick;0.02;10000;60;1060;10.60;0.60
quick;0.02;10000;52;1083;10.83;0.52
quick;0.02;10000;51;1040;10.40;0.51
quick;0.02;10000;50;1096;10.96;0.50
quick;0.02;10000;45;1059;10.59;0.45
quick;0.02;10000;43;1080;10.80;0.43
quick;0.02;10000;49;1095;10.95;0.49
quick;0.02;10000;64;1113;11.13;0.64
quick;0.02;10000;51;1082;10.82;0.51
quick;0.02;10000;59;1083;10.83;0.59
quick;0.02;10000;62;1059;10.59;0.62
quick;0.02;10000;49;1100;11.00;0.49
quick;0.02;10000;53;1090;10.90;0.53
quick;0.02;10000;75;1114;11.14;0.75
quick;0.02;10000;48;1079;10.79;0.48
quick;0.02;10000;63;1076;10.76;0.63
quick;0.02;10000;65;1092;10.92;0.65
quick;0.02;10000;48;1112;11.12;0.48
quick;0.05;100;18;15;15.00;18.00
quick;0.05;100;15;12;12.00;15.00
quick;0.05;100;16;12;12.00;16.00
quick;0.05;100;19;14;14.00;19.00
quick;0.05;100;17;15;15.00;17.00
quick;0.05;100;15;14;14.00;15.00
quick;0.05;100;16;15;15.00;16.00
quick;0.05;100;18;15;15.00;18.00
quick;0.05;100;11;17;17.00;11.00
quick;0.05;100;20;15;15.00;20.00
quick;0.05;100;19;13;13.00;19.00
quick;0.05;100;26;14;14.00;26.00
quick;0.05;100;23;10;10.00;23.00
quick;0.05;100;17;16;16.00;17.00
quick;0.05;100;24;12;12.00;24.00
quick;0.05;100;11;18;18.00;11.00
quick;0.05;100;13;15;15.00;13.00
quick;0.05;100;19;11;11.00;19.00
