algoritmo;probabilidade_erro;size_of_array;largest_sorted_subarray;k_unordered_sequence;percentual_k_unordered;percentual_maior_array
quick;0.01;100;30;7;7.00;30.00
quick;0.01;100;29;3;3.00;29.00
quick;0.01;100;39;3;3.00;39.00
quick;0.01;100;27;5;5.00;27.00
quick;0.01;100;30;6;6.00;30.00
quick;0.01;100;50;4;4.00;50.00
quick;0.01;100;50;5;5.00;50.00
quick;0.01;100;51;3;3.00;51.00
quick;0.01;100;29;4;4.00;29.00
quick;0.01;100;42;6;6.00;42.00
quick;0.01;100;41;4;4.00;41.00
quick;0.01;100;52;3;3.00;52.00
quick;0.01;100;38;4;4.00;38.00
quick;0.01;100;40;5;5.00;40.00
quick;0.01;100;75;3;3.00;75.00
quick;0.01;100;34;4;4.00;34.00
quick;0.01;100;44;5;5.00;44.00
quick;0.01;100;30;5;5.00;30.00
quick;0.01;100;100;0;0.00;100.00
quick;0.01;100;86;1;1.00;86.00
quick;0.01;100;59;1;1.00;59.00
quick;0.01;100;71;1;1.00;71.00
quick;0.01;100;53;2;2.00;53.00
quick;0.01;100;76;2;2.00;76.00
quick;0.01;100;50;1;1.00;50.00
quick;0.01;100;59;1;1.00;59.00
quick;0.01;100;83;1;1.00;83.00
quick;0.01;100;50;2;2.00;50.00
quick;0.01;100;39;2;2.00;39.00
quick;0.01;100;68;2;2.00;68.00
quick;0.001;1000;203;11;1.10;20.30
quick;0.001;1000;193;13;1.30;19.30
quick;0.001;1000;228;10;1.00;22.80
quick;0.001;1000;265;11;1.10;26.50
quick;0.001;1000;388;12;1.20;38.80
quick;0.001;1000;303;12;1.20;30.30
quick;0.001;1000;243;8;0.80;24.30
quick;0.001;1000;409;13;1.30;40.90
quick;0.001;1000;237;12;1.20;23.70
quick;0.001;1000;165;9;0.90;16.50
quick;0.001;1000;325;10;1.00;32.50
quick;0.001;1000;266;12;1.20;26.60
quick;0.001;1000;239;12;1.20;23.90
quick;0.001;1000;349;9;0.90;34.90
quick;0.001;1000;362;10;1.00;36.20
quick;0.001;1000;279;12;1.20;27.90
quick;0.001;1000;257;14;1.40;25.70
quick;0.001;1000;319;9;0.90;31.90
quick;0.001;1000;284;10;1.00;28.40
quick;0.001;1000;286;13;1.30;28.60
quick;0.001;1000;346;12;1.20;34.60
quick;0.001;1000;272;11;1.10;27.20
quick;0.001;1000;238;13;1.30;23.80
quick;0.001;1000;216;8;0.80;21.60
quick;0.001;1000;152;14;1.40;15.20
quick;0.001;1000;201;13;1.30;20.10
quick;0.001;1000;241;11;1.10;24.10
quick;0.001;1000;187;15;1.50;18.70
quick;0.001;1000;329;10;1.00;32.90
quick;0.001;1000;302;9;0.90;30.20
quick;0.0001;10000;1371;18;0.18;13.71
quick;0.0001;10000;1251;18;0.18;12.51
quick;0.0001;10000;1739;14;0.14;17.39
quick;0.0001;10000;1289;16;0.16;12.89
quick;0.0001;10000;1396;14;0.14;13.96
quick;0.0001;10000;3086;13;0.13;30.86
quick;0.0001;10000;1926;15;0.15;19.26
quick;0.0001;10000;1109;18;0.18;11.09
quick;0.0001;10000;1455;15;0.15;14.55
quick;0.0001;10000;1530;12;0.12;15.30
quick;0.0001;10000;1410;15;0.15;14.10
quick;0.0001;10000;1745;16;0.16;17.45
quick;0.0001;10000;1086;18;0.18;10.86
quick;0.0001;10000;1768;17;0.17;17.68
quick;0.0001;10000;1426;14;0.14;14.26
quick;0.0001;10000;2110;17;0.17;21.10
quick;0.0001;10000;2008;14;0.14;20.08
quick;0.0001;10000;1553;18;0.18;15.53
quick;0.0001;10000;1512;19;0.19;15.12
quick;0.0001;10000;1592;16;0.16;15.92
quick;0.0001;10000;1662;17;0.17;16.62
quick;0.0001;10000;1741;15;0.15;17.41
quick;0.0001;10000;1493;16;0.16;14.93
quick;0.0001;10000;1779;17;0.17;17.79
quick;0.0001;10000;2016;17;0.17;20.16
quick;0.0001;10000;2708;15;0.15;27.08
quick;0.0001;10000;1573;14;0.14;15.73
quick;0.0001;10000;1803;15;0.15;18.03
quick;0.0001;10000;3115;10;0.10;31.15
quick;0.0001;10000;2649;8;0.08;26.49
bubble;0.01;100;34;3;3.00;34.00
bubble;0.01;100;50;4;4.00;50.00
