size_of_array,algoritmo,percentual_k_unordered_mean,percentual_maior_array_mean,percentual_k_unordered_std,percentual_maior_array_std,percentual_k_unordered_min,percentual_maior_array_min,percentual_k_unordered_max,percentual_maior_array_max
100,bubble,5.0,49.56666666666667,2.259081290228855,16.606362165381558,1.0,30.0,10.0,92.0
100,insertion,12.866666666666667,18.0,2.080008841714187,4.770599615316211,8.0,12.0,17.0,28.0
100,merge,11.466666666666667,24.833333333333332,1.888866351003697,7.390969948633885,8.0,14.0,16.0,47.0
100,quick,11.266666666666667,20.633333333333333,1.9106477207072157,4.172845992624328,8.0,14.0,15.0,37.0
1000,bubble,6.230000000000001,14.656666666666666,0.5038814857921827,4.039433498463088,5.3,8.2,7.2,24.2
1000,insertion,18.353333333333335,2.1333333333333333,0.667333000332917,0.32306008124179325,17.1,1.7,19.6,3.2
1000,merge,13.133333333333331,3.913333333333334,0.7222251694605349,0.7686680523559202,11.5,2.6,14.3,6.1
1000,quick,10.833333333333334,4.216666666666665,0.5579107167066175,0.7263908577074188,9.8,3.1,11.9,5.9
10000,bubble,6.120666666666668,3.4019999999999997,0.19970553034549318,1.2098458151978393,5.75,1.59,6.52,7.34
10000,insertion,18.824666666666666,0.26266666666666666,0.3340011700715958,0.027156422156974523,18.17,0.22,19.52,0.32
10000,merge,17.10533333333333,0.3933333333333333,0.13315102478876642,0.07077566956446862,16.88,0.29,17.4,0.58
10000,quick,10.811333333333334,0.5476666666666666,0.23152766027251356,0.07074399369330346,10.23,0.43,11.14,0.75
