size_of_array,algoritmo,percentual_k_unordered_mean,percentual_maior_array_mean,percentual_k_unordered_std,percentual_maior_array_std,percentual_k_unordered_min,percentual_maior_array_min,percentual_k_unordered_max,percentual_maior_array_max
100,bubble,2.599,66.479,1.368967886063466,16.78580716922251,1.0,31.0,6.0,97.0
100,insertion,11.485,19.931,2.9867533704167295,3.786631428800217,6.0,14.0,15.0,27.0
100,merge,3.232,55.92,1.5487332160751812,17.715627097098285,1.0,30.0,6.0,93.0
100,quick,5.433,38.426,1.744865483513144,12.8498109574282,2.0,24.0,9.0,87.0
1000,bubble,3.824899999999981,25.570400000000046,0.46225931431792,7.656846030261492,2.6,14.5,4.7,43.0
1000,insertion,14.486100000000011,2.668200000000008,0.6907922871485926,0.43328569846753145,13.2,2.2,16.0,3.8
1000,merge,7.2808000000000135,5.872599999999967,0.5260685393635585,0.744058373289934,6.4,4.4,8.5,7.1
1000,quick,6.344500000000019,6.553600000000014,0.5438064687694284,1.2948914177581778,5.5,4.8,7.5,10.5
10000,bubble,3.4770500000000015,5.813859999999991,0.1451401500728284,1.8425387511391582,2.99,2.74,4.02,20.2
10000,insertion,14.452110000000006,0.35643000000000075,0.28641941970471174,0.04100532327072348,13.67,0.28,15.46,0.5
10000,merge,9.97694000000001,0.7105500000000029,0.3109419902832704,0.12593831012824475,9.53,0.5,10.68,1.03
10000,quick,6.577330000000046,0.938839999999997,0.2342978159662751,0.16181173454801553,6.2,0.61,7.12,1.37
