size_of_array,algoritmo,percentual_k_unordered_mean,percentual_maior_array_mean,percentual_k_unordered_std,percentual_maior_array_std,percentual_k_unordered_min,percentual_maior_array_min,percentual_k_unordered_max,percentual_maior_array_max
100,bubble,3.937,64.207,1.5281905530287665,18.301559990834058,1.0,33.0,8.0,96.0
100,insertion,14.618,17.175,2.214267142640874,3.4322230631407367,9.0,11.0,17.0,24.0
100,merge,7.671,28.378,2.7695540127301044,11.947713750499043,3.0,19.0,13.0,61.0
100,quick,9.435,25.585,1.5231858373472014,6.992257623018948,6.0,15.0,12.0,42.0
1000,bubble,6.1798999999999875,17.683199999999974,0.549807492017231,6.089262424701115,4.6,7.2,7.4,36.5
1000,insertion,18.574100000000136,2.005699999999999,0.625948081713649,0.37085717607327645,17.0,1.5,19.8,2.9
1000,merge,13.333500000000054,3.5639000000000003,0.7516999419999995,0.8491689336509416,12.2,2.6,14.6,5.9
1000,quick,10.444500000000044,4.005799999999996,0.6697300114884265,0.43201040843131727,9.1,3.4,12.3,5.0
10000,bubble,6.041680000000011,3.60537,0.1935671610729615,1.095512213583267,5.41,1.76,6.73,9.57
10000,insertion,18.80365999999999,0.2609499999999998,0.2867839769747424,0.028886535478176205,18.08,0.21,19.75,0.41
10000,merge,17.274960000000068,0.407100000000001,0.3047472219221509,0.07959978722412597,16.57,0.31,17.94,0.71
10000,quick,10.791799999999977,0.5622999999999981,0.24977940217269648,0.07476831080277463,10.28,0.4,11.28,0.79
