bubble,insertion,merge,quick
30.0,15.0,17.0,20.0
30.0,26.0,18.0,18.0
30.0,20.0,29.0,21.0
37.0,17.0,14.0,19.0
48.0,19.0,21.0,19.0
36.0,21.0,19.0,23.0
35.0,19.0,22.0,15.0
36.0,14.0,19.0,21.0
92.0,23.0,22.0,21.0
44.0,28.0,29.0,20.0
85.0,17.0,27.0,20.0
35.0,25.0,20.0,24.0
30.0,14.0,32.0,21.0
30.0,12.0,21.0,26.0
30.0,15.0,25.0,24.0
55.0,16.0,41.0,23.0
48.0,15.0,24.0,21.0
57.0,28.0,47.0,25.0
42.0,13.0,35.0,17.0
62.0,16.0,33.0,20.0
48.0,13.0,20.0,19.0
63.0,25.0,19.0,19.0
63.0,16.0,27.0,19.0
47.0,17.0,30.0,16.0
63.0,14.0,18.0,20.0
63.0,17.0,29.0,37.0
63.0,14.0,20.0,17.0
59.0,23.0,20.0,14.0
63.0,16.0,25.0,22.0
63.0,12.0,22.0,18.0
