bubble,insertion,merge,quick
137,269,240,193
109,252,244,201
119,260,239,202
136,255,243,182
122,250,247,200
122,271,230,193
123,251,238,204
109,258,239,199
130,257,244,184
126,258,259,186
118,265,251,202
127,253,253,190
104,251,250,202
129,252,232,185
132,262,237,179
126,254,254,179
123,279,234,179
112,276,267,184
112,288,250,180
130,247,254,194
118,260,255,194
93,267,273,193
132,250,243,188
124,254,257,190
97,269,252,168
128,260,250,185
132,264,252,182
121,270,251,175
124,259,271,175
115,261,253,187
