bubble,insertion,merge,quick
10.0,25.0,18.0,15.0
14.0,28.0,19.0,12.0
14.0,23.0,19.0,12.0
15.0,22.0,20.0,14.0
12.0,22.0,19.0,15.0
11.0,21.0,18.0,14.0
14.0,26.0,21.0,15.0
12.0,20.0,18.0,15.0
13.0,24.0,22.0,17.0
12.0,23.0,21.0,15.0
9.0,18.0,20.0,13.0
15.0,22.0,20.0,14.0
11.0,24.0,16.0,10.0
14.0,23.0,21.0,16.0
14.0,23.0,18.0,12.0
13.0,25.0,19.0,18.0
11.0,23.0,18.0,15.0
12.0,21.0,19.0,11.0
13.0,26.0,21.0,14.0
15.0,22.0,22.0,11.0
12.0,26.0,19.0,14.0
15.0,25.0,21.0,12.0
12.0,24.0,16.0,16.0
13.0,21.0,19.0,15.0
12.0,23.0,17.0,15.0
13.0,25.0,19.0,15.0
12.0,27.0,20.0,13.0
13.0,27.0,19.0,13.0
14.0,23.0,19.0,14.0
13.0,27.0,18.0,12.0
